region,value
"Москва",191
"Алтайский край",235
"Амурская область",47
"Архангельская область",175
"Астраханская область",95
"Белгородская область",171
"Брянская область",156
"Владимирская область",97
"Волгоградская область",355
"Вологодская область",130
"Воронежская область",157
"Орловская область",76
"Забайкальский край",156
"Иркутская область",303
"Кабардино-Балкарская Республика",22
"Республика Ингушетия",4
"Калининградская область",79
"Камчатский край",43
"Кемеровская область",177
"Кировская область",122
"Краснодарский край",279
"Красноярский край",264
"Курская область",136
"Курганская область",50
"Ленинградская область",111
"Липецкая область",129
"Магаданская область",41
"Московская область",321
"Смоленская область",46
"Мурманская область",33
"Нижегородская область",153
"Новгородская область",81
"Новосибирская область",226
"Омская область",204
"Оренбургская область",280
"Пензенская область",67
"Пермский край",245
"Приморский край",194
"Республика Адыгея",10
"Республика Башкортостан",694
"Республика Бурятия",486
"Республика Дагестан",155
"Республика Коми",88
"Республика Крым",70
"Республика Марий Эл",102
"Республика Саха (Якутия)",238
"Республика Татарстан",669
"Республика Тыва",57
"Республика Хакасия",102
"Ростовская область",318
"Рязанская область",48
"Самарская область",347
"Санкт-Петербург",127
"Саратовская область",155
"Сахалинская область",46
"Свердловская область",513
"Ставропольский край",105
"Тамбовская область",68
"Тверская область",171
"Томская область",87
"Тульская область",77
"Тюменская область",104
"Ульяновская область",91
"Челябинская область",288
"Чувашская Республика",87
"Чукотский автономный округ",16
"Ярославская область",98
"Республика Северная Осетия-Алания",78
"Республика Калмыкия",40
"Псковская область",57
"Республика Карелия",61
"Ханты-Мансийский автономный округ - Югра",173
"Калужская область",98
"Ямало-Ненецкий автономный округ",50
"Республика Мордовия",99
"Севастополь",21
"Ивановская область",89
"Хабаровский край",66
"Удмуртская Республика",67
"Республика Алтай",31
"Республика Карачаево-Черкесия",14
"Костромская область",34
"Ненецкий автономный округ",5
"ДНР",15
"###",14
"ЛНР",3
"Еврейская автономная область",2
