,Unnamed: 0,region_type,region,position,governor,start,end,birth_year,insider,approved,nat_rep,Region,turnout21,ur21,elections22,elections23,elections24
0,0,Republics,Adygeya,"Presidents (from 1 May 2011, Heads of the Republic)",Murat Kumpilov,2017-01-12,,1973,1,1,1,Республика Адыгея,68.21,66.45,0,0,0
1,1,Republics,Altay,"Heads of the Republic, Chairmen of the Government",Oleg Khorokhordin,2019-03-20,2024-06-04,1972,1,1,1,Республика Алтай,46.19,38.5,0,0,1
2,2,Republics,Altay,"Heads of the Republic, Chairmen of the Government",Andrey Turchak,2024-06-04,,1975,0,1,1,Республика Алтай,46.19,38.5,0,0,1
3,3,Republics,Bashkortostan,"Presidents (from 1 Jan 2015, Heads of the Republic)",Rady Khabirov,2018-10-11,,1964,1,1,1,Республика Башкортостан,72.79,66.61,0,0,1
4,4,Republics,Buryatia,"Presidents (from 12 May 2012, Heads of the Republic)",Aleksey Tsydenov,2017-02-07,,1976,1,1,1,Республика Бурятия,44.97,42.63,0,0,0
5,5,Republics,Chechnya,"Presidents (from 1 May 2011, Heads of the Republic)",Ramzan Kadyrov,2007-02-15,,1976,1,1,1,Чеченская Республика,94.42,96.13,0,0,0
6,6,Republics,Chuvashia,"Presidents (from 1 Jan 2012, Heads of the Republic)",Oleg Nikolayev,2020-01-29,,1969,1,1,1,Чувашская Республика,57.03,37.18,0,0,0
7,7,Republics,Dagestan,"Presidents (from 1 Jan 2014, Heads of the Republic)",Sergey Melikov,2020-10-05,,1965,0,1,1,Республика Дагестан,84.52,81.18,0,0,0
8,8,Republics,Ingushetia,"Presidents (from 1 Jan 2011, Heads of the Republic)",Makhmud-Ali Kalimatov,2019-06-26,,1959,1,1,1,Республика Ингушетия,83.68,85.18,0,0,0
9,9,Republics,Kabardino-Balkariya,"Presidents (from 1 Jan 2012, Heads of the Republic)",Kazbek Kokov,2018-09-26,,1973,1,1,1,Кабардино-Балкария,85.78,79.2,0,0,0
10,10,Republics,Kalmykia,"President (from 24 Oct 2005, Heads of the Republic)",Batu Khasikov,2019-03-20,,1980,1,1,1,Республика Калмыкия,50.01,39.52,0,0,1
11,11,Republics,Karachayevo-Cherkessia,"Heads of the Republic (Sep 2000 - 7 Apr 2011, presidents)",Rashid Temrezov,2011-02-26,,1976,1,1,1,Карачаево-Черкесия,89.36,80.06,0,0,0
12,12,Republics,Karelia,Heads of the Republic,Artur Parfenchikov,2017-02-15,,1964,1,1,1,Республика Карелия,39.72,31.69,0,0,0
13,13,Republics,Khakassia,"Chairmen of the Government (from 18 Nov 2010, Heads of the Republic - Chairmen of the Government)",Valentin Konovalov,2018-11-15,,1987,1,0,1,Республика Хакасия,37.55,33.36,0,1,0
14,14,Republics,Komi,Heads of the Republic,Vladimir Uyba,2020-04-02,2024-11-05,1958,0,1,1,Республика Коми,39.47,29.44,0,0,0
15,15,Republics,Komi,Heads of the Republic,Rostislav Goldshteyn (acting),2024-11-05,,1969,1,1,1,Республика Коми,39.47,29.44,0,0,0
16,16,Republics,Mari El,"Presidents (from 10 Jun 2011, Heads of the Republic)",Aleksandr Yevstifeyev,2017-04-06,2022-05-10,1958,0,1,1,Республика Марий Эл,46.11,33.43,0,0,0
17,17,Republics,Mari El,"Presidents (from 10 Jun 2011, Heads of the Republic)",Yury Zaytsev,2022-05-10,,1970,0,1,1,Республика Марий Эл,46.11,33.43,0,0,0
18,18,Republics,Mordovia,Heads of the Republic,Artyom Zdunov,2020-11-18,,1978,0,1,1,Республика Мордовия,65.11,66.0,0,0,0
19,19,Republics,North Ossetia-Alania,Heads of the Republic,Sergey Menyaylo,2021-04-09,,1960,1,1,1,Северная Осетия,86.61,71.12,0,0,0
20,20,Republics,Sakha,"Presidents (from 24 Apr 2014, Heads of the Republic)",Aysen Nikolayev,2018-05-28,,1972,1,1,1,Якутия,51.23,33.22,0,1,0
21,21,Republics,Tatarstan,"Presidents (from 6 Feb 2023, Head of the Republic)",Rustam Minnikhanov,2010-03-25,,1957,1,1,1,Республика Татарстан,78.92,79.01,0,0,0
22,22,Republics,Tuva,"Chairmen of the Government (from 6 Apr 2012, Head - Chairman of the Government)",Vladislav Khovalyg,2021-04-07,,1967,1,1,1,Республика Тыва,83.28,85.34,0,0,0
23,23,Republics,Udmurtia,Heads of the Republic,Aleksandr Brechalov,2017-04-04,,1973,0,1,1,Удмуртская Республика,47.45,35.63,0,0,0
24,24,Republics,Crimea,Heads of the Republic,Sergey Aksyonov,2014-10-09,,1972,1,1,0,Республика Крым,49.75,63.33,0,0,0
25,25,Kraya (regions),Altay,Heads of the administration/governors,Viktor Tomenko,2018-05-30,,1971,0,1,0,Алтайский край,40.95,33.67,0,1,0
26,26,Kraya (regions),Kamchatka,Governors,Vladimir Solodov,2020-04-03,,1982,0,1,0,Камчатский край,42.37,34.76,0,0,0
27,27,Kraya (regions),Khabarovsk,Heads of the administration/governors,Mikhail Degtyarev,2020-07-20,2024-05-15,1981,0,1,0,Хабаровский край,44.31,24.51,0,0,1
28,28,Kraya (regions),Khabarovsk,Heads of the administration/governors,Dmitry Demeshin,2024-05-15,,1976,0,1,0,Хабаровский край,44.31,24.51,0,0,1
29,29,Kraya (regions),Krasnodar,Heads of the administration/governors,Veniamin Kondratyev,2015-04-22,,1970,1,1,0,Краснодарский край,65.37,60.98,0,0,0
30,30,Kraya (regions),Krasnoyarsk,Heads of the administration/governors,Aleksandr Uss,2017-09-29,2023-04-2020,1954,1,1,0,Красноярский край,41.61,34.64,0,1,0
31,31,Kraya (regions),Krasnoyarsk,Heads of the administration/governors,Mikhail Kotyukov,2023-04-20,,1976,1,1,0,Красноярский край,41.61,34.64,0,1,0
32,32,Kraya (regions),Perm,Governors,Dmitry Makhonin,2020-02-06,,1982,1,1,0,Пермский край,39.0,33.56,0,0,0
33,33,Kraya (regions),Primorsky,"Heads of the administration (from Dec 1995, governors)",Oleg Kozhemyako,2018-09-26,,1962,0,1,0,Приморский край,42.6,37.42,0,1,0
34,34,Kraya (regions),Stavropol,Governors,Vladimir Vladimirov,2013-09-27,,1975,1,1,0,Ставропольский край,67.12,61.83,0,0,1
35,35,Kraya (regions),Zabaykalsky,Governors,Aleksandr Osipov,2018-10-24,,1969,0,1,0,Забайкальский край,39.35,38.66,0,0,1
36,36,Oblasti (provinces),Amur,Heads of the administration/governors,Vasily Orlov,2018-05-30,,1975,1,1,0,Амурская область,41.65,34.32,0,1,0
37,37,Oblasti (provinces),Arkhangelsk,Heads of the administration/governors,Aleksandr Tsybulsky,2020-04-02,,1979,1,1,0,Архангельская область без АО,41.58,32.21,0,0,0
38,38,Oblasti (provinces),Astrakhan,Heads of the administration/governors,Igor Babushkin,2019-06-05,,1970,0,1,0,Астраханская область,43.6,48.1,0,0,1
39,39,Oblasti (provinces),Belgorod,Heads of the administration/governors,Vyacheslav Gladkov,2020-11-18,,1969,0,1,0,Белгородская область,59.07,51.65,0,0,0
40,40,Oblasti (provinces),Bryansk,Heads of the administration/governors,Aleksandr Bogomaz,2014-09-09,,1961,1,1,0,Брянская область,68.65,64.32,0,0,0
41,41,Oblasti (provinces),Chelyabinsk,Heads of the administration/governors,Aleksey Teksler,2019-03-19,,1973,1,1,0,Челябинская область,46.54,34.31,0,0,1
42,42,Oblasti (provinces),Irkutsk,"Head of the administration (from Mar 1994, governors)",Igor Kobzev,2019-12-12,,1966,0,1,0,Иркутская область,36.99,35.53,0,0,0
43,43,Oblasti (provinces),Ivanovo,Heads of the administration/governors,Stanislav Voskresensky,2017-10-10,,1976,0,1,0,Ивановская область,38.26,36.24,0,1,0
44,44,Oblasti (provinces),Kaliningrad,Heads of the administration/governors,Anton Alikhanov,2016-10-06,2024-05-15,1986,0,1,0,Калининградская область,46.15,41.12,0,0,1
45,45,Oblasti (provinces),Kaliningrad,Heads of the administration/governors,Aleksey Besprozvannykh,2024-05-15,,1979,0,1,0,Калининградская область,46.15,41.12,0,0,1
46,46,Oblasti (provinces),Kaluga,Governors,Vladislav Shapsha,2020-02-13,,1972,1,1,0,Калужская область,44.18,36.33,0,0,0
47,47,Oblasti (provinces),Kemerovo,Heads of the administration/governors,Sergey Tsivilyov,2018-04-01,2024-05-15,1961,0,1,0,Кемеровская область,73.51,70.75,0,1,1
48,48,Oblasti (provinces),Kemerovo,Heads of the administration/governors,Ilya Seredyuk,2024-05-15,,1975,1,1,0,Кемеровская область,73.51,70.75,0,1,1
49,49,Oblasti (provinces),Kirov,Governors,Igor Vasilyev,2016-07-28,2022-05-10,1961,1,1,0,Кировская область,45.04,29.54,0,0,0
50,50,Oblasti (provinces),Kirov,Governors,Aleksandr Sokolov,2022-05-10,,1970,0,1,0,Кировская область,45.04,29.54,0,0,0
51,51,Oblasti (provinces),Kostroma,Heads of the administration/governors,Sergey Sitnikov,2012-04-13,,1963,1,1,0,Костромская область,39.54,30.26,0,0,0
52,52,Oblasti (provinces),Kurgan,Heads of the administration/governors,Vadim Shumkov,2018-10-02,,1971,1,1,0,Курганская область,48.28,36.07,0,0,1
53,53,Oblasti (provinces),Kursk,Heads of the administration/governors,Roman Starovoyt,2018-10-11,2024-05-15,1972,1,1,0,Курская область,47.01,43.48,0,0,1
54,54,Oblasti (provinces),Kursk,Heads of the administration/governors,Aleksey Smirnov,2024-05-15,2024-12-05,1973,1,1,0,Курская область,47.01,43.48,0,0,1
55,55,Oblasti (provinces),Kursk,Heads of the administration/governors,Aleksandr Khinshtein (acting),2024-12-05,,1974,0,1,0,Курская область,47.01,43.48,0,0,1
56,56,Oblasti (provinces),Leningrad,Governors,Aleksandr Drozdenko,2012-05-28,,1964,1,1,0,Ленинградская область,44.27,43.08,0,0,0
57,57,Oblasti (provinces),Lipetsk,Heads of the administration/governors,Igor Artamonov,2018-10-02,,1967,0,1,0,Липецкая область,52.72,48.65,0,0,1
58,58,Oblasti (provinces),Magadan,Governors,Sergey Nosov,2018-05-28,,1961,0,1,0,Магаданская область,43.9,50.08,0,1,0
59,59,Oblasti (provinces),Moscow,Governors,Andrey Vorobyov,2012-11-08,,1970,1,1,0,Московская область,45.85,45.68,0,1,0
60,60,Oblasti (provinces),Murmansk,"Heads of the administration (from Dec 1997, governors)",Andrey Chibis,2019-03-21,,1979,0,1,0,Мурманская область,43.84,35.81,0,0,1
61,61,Oblasti (provinces),Nizhny Novgorod,"Head of the administration (from Dec 1995, governors)",Gleb Nikitin,2017-09-26,,1977,0,1,0,Нижегородская область,48.48,49.95,0,1,0
62,62,Oblasti (provinces),Novgorod,Heads of the administration/governors,Andrey Nikitin,2017-02-13,2025-02-07,1979,0,1,0,Новгородская область,41.13,32.51,0,0,0
63,63,Oblasti (provinces),Novgorod,Heads of the administration/governors,Aleksandr Dronov (acting),2025-02-07,,1979,0,1,0,Новгородская область,41.13,32.51,0,0,0
64,64,Oblasti (provinces),Novosibirsk,Governors,Andrey Travnikov,2017-10-06,,1971,0,1,0,Новосибирская область,37.74,35.25,0,1,0
65,65,Oblasti (provinces),Omsk,"Head of the administration (from Dec 1995, governors)",Aleksandr Burkov,2017-10-09,2023-03-29,1967,0,1,0,Омская область,41.38,32.9,0,1,0
66,66,Oblasti (provinces),Omsk,"Head of the administration (from Dec 1995, governors)",Vitaly Khotsenko,2023-03-29,,1986,0,1,0,Омская область,41.38,32.9,0,1,0
67,67,Oblasti (provinces),Orenburg,Heads of the administration/governors,Denis Pasler,2019-03-21,2025-03-26,1978,0,1,0,Оренбургская область,45.88,38.36,0,0,1
68,68,Oblasti (provinces),Orenburg,Heads of the administration/governors,Yevgeny Solntsev (acting),2025-03-26,,1980,0,1,0,Оренбургская область,45.88,38.36,0,0,1
69,69,Oblasti (provinces),Oryol,Heads of the administration/governors,Andrey Klychkov,2017-10-05,,1979,0,1,0,Орловская область,49.99,38.83,0,1,0
70,70,Oblasti (provinces),Penza,Heads of the administration/governors,Oleg Melnichenko,2021-03-26,,1973,1,1,0,Пензенская область,57.52,56.22,0,0,0
71,71,Oblasti (provinces),Pskov,Heads of the administration/governors,Mikhail Vedernikov,2017-10-12,,1975,0,1,0,Псковская область,44.81,40.07,0,1,0
72,72,Oblasti (provinces),Rostov,Heads of the administration/governors,Vasily Golubev,2010-06-14,2024-11-04,1957,1,1,0,Ростовская область,48.8,51.59,0,0,0
73,73,Oblasti (provinces),Rostov,Heads of the administration/governors,Yury Slyusar (acting),2024-11-04,,1974,1,1,0,Ростовская область,48.8,51.59,0,0,0
74,74,Oblasti (provinces),Ryazan,Heads of the administration/governors,Nikolay Lyubimov,2017-02-14,2022-05-10,1971,0,1,0,Рязанская область,48.03,47.79,0,0,0
75,75,Oblasti (provinces),Ryazan,Heads of the administration/governors,Pavel Malkov,2022-05-10,,1980,0,1,0,Рязанская область,48.03,47.79,0,0,0
76,76,Oblasti (provinces),Sakhalin,"Heads of the administration (from Oct 1996, governors)",Valery Limarenko,2018-12-07,,1960,0,1,0,Сахалинская область,39.94,35.73,0,0,1
77,77,Oblasti (provinces),Samara,Heads of the administration/governors,Dmitry Azarov,2017-09-25,2024-05-31,1970,1,1,0,Самарская область,46.77,44.3,0,1,1
78,78,Oblasti (provinces),Samara,Heads of the administration/governors,Vyacheslav Fedorishchev,2024-05-31,,1989,0,1,0,Самарская область,46.77,44.3,0,1,1
79,79,Oblasti (provinces),Saratov,"Heads of the administration (from Sep 1996, governors)",Valery Radayev,2012-03-23,2022-05-10,1961,1,1,0,Саратовская область,55.71,59.84,0,0,0
80,80,Oblasti (provinces),Saratov,"Heads of the administration (from Sep 1996, governors)",Roman Busargin,2022-05-10,,1981,1,1,0,Саратовская область,55.71,59.84,0,0,0
81,81,Oblasti (provinces),Smolensk,Heads of the administration/governors,Aleksey Ostrovsky,2012-04-20,2023-03-17,1976,0,1,0,Смоленская область,41.87,39.94,0,1,0
82,82,Oblasti (provinces),Smolensk,Heads of the administration/governors,Vasily Anokhin,2023-03-17,,1983,0,1,0,Смоленская область,41.87,39.94,0,1,0
83,83,Oblasti (provinces),Sverdlovsk,Governors,Yevgeny Kuyvashev,2012-05-14,2025-03-26,1971,0,1,0,Свердловская область,48.47,34.71,0,0,0
84,84,Oblasti (provinces),Sverdlovsk,Governors,Denis Pasler (acting),2025-03-26,,1978,1,1,0,Свердловская область,48.47,34.71,0,0,0
85,85,Oblasti (provinces),Tambov,Heads of the administration/governors,Maksim Yegorov,2021-10-04,2024-11-04,1977,0,1,0,Тамбовская область,58.88,56.92,0,0,0
86,86,Oblasti (provinces),Tambov,Heads of the administration/governors,Yevgeny Pervyshov (acting),2024-11-04,,1976,0,1,0,Тамбовская область,58.88,56.92,0,0,0
87,87,Oblasti (provinces),Tomsk,"Head of the administration (from Dec 1995, governors)",Sergey Zhvachkin,2012-03-17,2022-05-10,1957,1,1,0,Томская область,41.47,32.7,0,0,0
88,88,Oblasti (provinces),Tomsk,"Head of the administration (from Dec 1995, governors)",Vladimir Mazur,2022-05-10,,1966,1,1,0,Томская область,41.47,32.7,0,0,0
89,89,Oblasti (provinces),Tula,Heads of the administration/governors,Aleksey Dyumin,2016-02-02,2024-05-15,1972,0,1,0,Тульская область,53.17,52.88,0,0,1
90,90,Oblasti (provinces),Tula,Heads of the administration/governors,Dmitry Milyayev,2024-05-15,,1975,1,1,0,Тульская область,53.17,52.88,0,0,1
91,91,Oblasti (provinces),Tver,Governors,Igor Rudenya,2016-03-02,,1968,0,1,0,Тверская область,42.46,35.4,0,0,0
92,92,Oblasti (provinces),Tyumen,Heads of the administration/governors,Aleksandr Moor,2018-05-29,,1974,1,1,0,Тюменская область без АО,61.54,51.33,0,1,0
93,93,Oblasti (provinces),Ulyanovsk,Heads of the administration/governors,Aleksey Russkikh,2021-04-08,,1968,0,1,0,Ульяновская область,45.88,39.03,0,0,0
94,94,Oblasti (provinces),Vladimir,Heads of the administration/governors,Aleksandr Avdeyev,2021-10-04,,1975,0,1,0,Владимирская область,37.89,37.64,0,0,0
95,95,Oblasti (provinces),Volgograd,Heads of the administration/governors,Andrey Bocharov,2014-04-02,,1969,0,1,0,Волгоградская область,64.97,58.43,0,0,1
96,96,Oblasti (provinces),Vologda,"Heads of the administration (from Oct 1996, governors)",Oleg Kuvshinnikov,2011-12-14,2023-10-31,1965,1,1,0,Вологодская область,45.53,34.31,0,0,1
97,97,Oblasti (provinces),Vologda,"Heads of the administration (from Oct 1996, governors)",Georgy Filimonov (acting),2023-10-31,,1980,1,1,0,Вологодская область,45.53,34.31,0,0,1
98,98,Oblasti (provinces),Voronezh,Heads of the administration/governors,Aleksandr Gusev,2017-12-25,,1963,1,1,0,Воронежская область,53.86,55.89,0,1,0
99,99,Oblasti (provinces),Yaroslavl,"Head of the administration (from Dec 1995, governors)",Mikhail Yevrayev,2021-10-12,,1971,1,1,0,Ярославская область,43.4,29.72,0,0,0
100,100,Federal cities,Moscow,Mayors,Sergey Sobyanin,2010-10-21,,1958,0,1,0,Москва,50.26,36.97,0,1,0
101,101,Federal cities,Saint-Petersburg,Governors,Aleksandr Beglov,2018-10-03,,1956,0,1,0,Санкт-Петербург,37.61,34.99,0,0,1
102,102,Federal cities,Sevastopol,Governors,Mikhail Razvozhayev,2020-10-02,,1980,0,1,0,Севастополь,49.26,56.45,0,0,0
103,103,Autonomous oblast (province),Yevreyskaya,Heads of the administration,Rostislav Goldshteyn,2019-12-12,2024-11-05,1969,0,1,1,Еврейская АО,63.13,56.39,0,0,0
104,104,Autonomous oblast (province),Yevreyskaya,Heads of the administration,Mariya Kostyuk (f) (acting),2024-11-05,,1977,1,1,1,Еврейская АО,63.13,56.39,0,0,0
105,105,Autonomous okruga (districts),Chukotka,Heads of the administration,Roman Kopin,2008-07-03,2023-03-15,1974,1,1,1,Чукотский АО,61.29,46.71,0,1,0
106,106,Autonomous okruga (districts),Chukotka,Heads of the administration,Vladislav Kuznetsov,2023-03-15,,1969,0,1,1,Чукотский АО,61.29,46.71,0,1,0
107,107,Autonomous okruga (districts),Khanty-Mansi,"Head of the administration (from Oct 1996, governors)",Natalya Komarova (f),2010-03-01,2024-05-30,1955,0,1,1,Ханты-Мансийский АО,46.62,42.3,0,0,0
108,108,Autonomous okruga (districts),Khanty-Mansi,"Head of the administration (from Oct 1996, governors)",Ruslan Kukharuk,2024-05-30,,1979,1,1,1,Ханты-Мансийский АО,46.62,42.3,0,0,0
109,109,Autonomous okruga (districts),Nenets,Heads of the administration,Yury Bezdudny,2020-04-02,2025-03-18,1969,1,1,1,Ненецкий АО,42.61,29.06,0,0,0
110,110,Autonomous okruga (districts),Nenets,Heads of the administration,Irina Gekht (f) (acting),2025-03-18,,1969,0,1,1,Ненецкий АО,42.61,29.06,0,0,0
111,111,Autonomous okruga (districts),Yamalo-Nenets,"Heads of the administration (from Oct 1996, governors)",Dmitry Artyukhov,2018-05-29,,1988,1,1,1,Ямало-Hенецкий АО,67.41,68.92,0,0,0
