,Region,year,total,drafted,pmc,volunteers,prisoners,contract,slavic,non_slavic,reg_inc,other_transfers,share_of_total,share_of_income,population,urban_share,disability_per10k,uneployment,median_income,consumption,av_income,share_poverty,% Russians,% Slavs,Excessive Marriages,ex_nup_per100k
0,Алтайский край,2022,400,0,14,33,8,291,376,24,185847.8,36375.0075,3.6903391858861694,19.572471398639102,2154900.0,0.5823936145528794,63.2,3.7,24037.0,25062.0,31145.0,15.4,95.45,96.08,2007.6,430.38783354735534
1,Алтайский край,2023,677,80,40,120,218,51,631,46,192389.35,38913.8823,3.3085294306545547,20.226630164299632,2130900.0,0.5831808156178141,,,,,,,95.45,96.08,2007.6,430.38783354735534
2,Алтайский край,2024,985,91,0,425,62,137,921,64,147770.09999999998,36080.2413,3.607095149697409,24.41646943461499,,,,,,,,,95.45,96.08,2007.6,430.38783354735534
3,Алтайский край,2025,30,0,0,28,0,2,28,2,,,,,,,,,,,,,,,2007.6,430.38783354735534
4,Амурская область,2022,100,0,5,25,0,67,91,9,121944.93,7467.1743,0.75756426791478,6.123398734166316,763600.0,0.6816396018858041,39.5,4.2,34565.7,35974.0,44900.0,13.3,95.17,95.95,1890.4,1007.4718340634628
5,Амурская область,2023,282,37,0,57,87,55,267,15,130121.95,6732.5944,0.5724174870380395,5.174065098163683,756200.0,0.6836815657233536,,,,,,,95.17,95.95,1890.4,1007.4718340634628
6,Амурская область,2024,48,16,0,0,0,17,45,3,90021.52,1619.9434,0.1619526303147071,1.7995068290337688,,,,,,,,,95.17,95.95,1890.4,1007.4718340634628
7,Амурская область,2025,7,0,0,0,0,0,6,1,,,,,,,,,,,,,,,1890.4,1007.4718340634628
8,Архангельская область без АО,2022,168,15,0,26,53,52,160,8,156710.43,12753.1257,1.2938377954490317,8.13801972210784,1016000.0,0.7746062992125984,63.4,5.6,35748.2,38562.0,48356.0,11.8,96.23,97.06,684.1999999999999,311.86187281213535
9,Архангельская область без АО,2023,464,97,23,75,153,45,449,15,151589.14,15153.0599,1.288340861421102,9.996138179819477,1005700.0,0.7769712637963607,,,,,,,96.23,97.06,684.1999999999999,311.86187281213535
10,Архангельская область без АО,2024,451,73,6,221,44,25,427,24,112389.91,11852.4961,1.1849444364474762,10.545872044919332,,,,,,,,,96.23,97.06,684.1999999999999,311.86187281213535
11,Архангельская область без АО,2025,76,1,0,45,0,22,74,2,,,,,,,,,,,,,,,684.1999999999999,311.86187281213535
12,Астраханская область,2022,134,0,0,23,44,52,72,62,91927.52,4267.668,0.432966026268241,4.642426990307145,957800.0,0.642931718521612,42.1,7.0,25038.0,26164.0,31119.0,13.8,67.1,67.57,172.79999999999995,79.12269053778701
13,Астраханская область,2023,401,58,6,83,133,82,235,166,88289.0,5217.0887,0.4435664211865418,5.9091038521220085,950600.0,0.6406480117820323,,,,,,,67.1,67.57,172.79999999999995,79.12269053778701
14,Астраханская область,2024,283,20,0,119,48,7,168,115,61728.3,4795.6198,0.4794385042090297,7.7689160401307005,,,,,,,,,67.1,67.57,172.79999999999995,79.12269053778701
15,Астраханская область,2025,30,5,0,13,2,2,15,15,,,,,,,,,,,,,,,172.79999999999995,79.12269053778701
16,Белгородская область,2022,271,45,27,36,33,81,255,16,166867.93,2620.7923,0.2658862000993056,1.5705787804762723,1536500.0,0.6530426293524243,51.4,3.7,32811.0,32092.0,41022.0,6.1,95.29,96.57,1182.4,338.94612522431106
17,Белгородская область,2023,431,84,26,112,51,42,412,19,198004.99,2403.098,0.2043157862392748,1.2136552720211748,1514500.0,0.6535490260812149,,,,,,,95.29,96.57,1182.4,338.94612522431106
18,Белгородская область,2024,330,40,0,114,16,41,313,17,138079.12,561.9811,0.0561836403248116,0.4069993348740925,,,,,,,,,95.29,96.57,1182.4,338.94612522431106
19,Белгородская область,2025,7,0,0,7,0,0,6,1,,,,,,,,,,,,,,,1182.4,338.94612522431106
