region,excess_monthly,total,unregistered_est,mob_est
Алтайский край,1442.7724668786113,544795.0,74460.0,10556.20771008774
Амурская область,1566.9152586233895,221950.0,29100.0,11951.09421482685
Архангельская область,553.5830562046335,274632.0,31779.0,4784.027876635228
Астраханская область,269.42265345806,267759.0,20509.5,3517.410968930334
Белгородская область,1108.6885233356047,421195.0,27109.5,17225.476773320795
Брянская область,677.124108439765,319814.0,25230.0,8583.185478262189
Владимирская область,578.5084106376387,366610.0,31497.0,6733.560924020215
Волгоградская область,1420.295567209604,736278.0,72928.5,14339.14559649455
Вологодская область,608.1757791466578,305092.0,33927.0,5469.082583529699
Воронежская область,835.0526243037203,643085.0,53443.5,10048.1782985837
г. Москва,2911.904685535506,3840276.0,352609.5,31713.60294645933
г. Санкт-Петербург,1150.4913953587704,1608110.0,139399.5,13272.047014446913
г. Севастополь,173.03909492189382,169187.0,13077.0,2238.7371226237246
Еврейская автономная область,233.38531303959115,42420.0,6564.0,1508.2579188207583
Забайкальский край,1582.4378619406377,275965.0,45052.5,9693.07950880524
Ивановская область,494.5939617962654,247661.0,27574.5,4442.206936569109
Иркутская область,1699.3976930314225,634852.0,99105.0,10886.090754415867
Кабардино-Балкарская Республика,117.58126972368946,255675.0,7071.0,4251.533182945029
Калининградская область,792.9907343399801,297692.0,26169.0,9020.864293138346
Калужская область,235.190854176292,308497.0,27732.0,2616.3159144967385
Камчатский край,340.2111831499637,89026.0,10783.5,2808.702257254942
Карачаево-Черкесская Республика,289.2036363898598,129048.0,5536.5,6740.92854128757
Кемеровская область - Кузбасс,2074.0189662435478,696881.0,95107.5,15196.955142494227
Кировская область,547.1612352761575,295983.0,38169.0,4242.983151267859
Костромская область,398.32063979351796,148215.0,13243.5,4457.816561105165
Краснодарский край,1577.433795179089,1662260.0,139321.5,18820.534521767226
Красноярский край,1585.7478731324968,806578.0,114106.5,11209.084040045598
Курганская область,554.4951525265992,194849.0,22956.0,4706.517946273538
Курская область,499.93970150093935,286788.0,21459.0,6681.4253746237655
Ленинградская область,899.9600022299551,600467.0,62679.0,8621.648122321902
Липецкая область,548.6606763081156,307335.0,23884.5,7059.9187319456005
Магаданская область,169.44640968002753,42805.0,6768.0,1071.683446565245
Московская область,2495.5097546273946,2645737.0,206323.5,32000.53552638754
Мурманская область,323.95106273290247,199836.0,19131.0,3383.8839878883646
Нижегородская область,898.8828753445011,847938.0,75096.0,10149.634435307682
Новгородская область,489.3120717432214,149921.0,16147.5,4543.003877245115
Новосибирская область,1617.428214550341,762848.0,88758.0,13901.303303514032
Омская область,1406.4046927061408,503473.0,58113.0,12184.653861456796
Оренбургская область,491.5257586508216,497363.0,47287.5,5169.795948186066
Орловская область,307.1295440435856,192092.0,15049.5,3920.2052144204426
Пензенская область,485.83151216914564,338693.0,26040.0,6319.037340672214
Пермский край,1459.6943703145685,676435.0,104751.0,9426.051888609512
Приморский край,2491.598434568513,538729.0,64843.5,20700.55337939285
Псковская область,458.24951447633805,161386.0,18673.5,3960.4282080637427
Республика Адыгея,150.3003130989565,135500.0,10120.5,2012.3207771264865
Республика Алтай,191.73886662532817,53058.0,9063.0,1122.5069828320272
Республика Башкортостан,1300.605049531483,1143727.0,94863.0,15680.89889087942
Республика Бурятия,1555.4951553419642,257277.0,43887.0,9118.716865607457
Республика Дагестан,-501.3132277295448,916609.0,76410.0,-6013.7183137802685
Республика Ингушетия,25.838976716855388,159011.0,8491.5,483.8581554170514
Республика Калмыкия,146.6006015535684,73673.0,5215.5,2070.8476882860787
Республика Карелия,418.2055977056973,138556.0,19269.0,3007.156302647288
Республика Коми,368.7624180128719,204757.0,28387.5,2659.8568533707303
Республика Крым,1867.646407497485,517228.0,46966.5,20567.830603879556
Республика Марий Эл,389.45722002328887,182658.0,17299.5,4112.111731264713
Республика Мордовия,292.08743225148487,219846.0,14886.0,4313.7346252022
Республика Саха (Якутия),686.0765349305925,287151.0,35536.5,5543.808846730954
Республика Северная Осетия-Алания,19.55691132322896,192275.0,14454.0,260.15671265212734
Республика Татарстан,1482.784988223141,1107022.0,81421.5,20160.22307661684
Республика Тыва,465.8746155961253,85777.0,25044.0,1595.6447413348042
Республика Хакасия,596.3695105164206,138970.0,21490.5,3856.4701089535833
Ростовская область,1836.436018097283,1185066.0,107070.0,20325.93524070678
Рязанская область,472.25600887033926,296869.0,25012.5,5605.124201792253
Самарская область,1060.7945743008909,875237.0,78000.0,11903.162318299857
Саратовская область,1192.350707966728,688807.0,72226.5,11371.165903130264
Сахалинская область,692.4764160951895,137891.0,18742.5,5094.638681701042
Свердловская область,2366.694071671053,1195681.0,135469.5,20888.916946690704
Смоленская область,460.4492688880401,244660.0,24613.5,4576.899592749828
Ставропольский край,1077.899615387528,828554.0,72510.0,12316.894744556583
Тамбовская область,309.0549206981669,267632.0,21429.0,3859.8621744501284
Тверская область,719.8025933034455,335210.0,34702.5,6952.958066457689
Томская область,440.52860193823733,299728.0,39097.5,3377.166233179717
Тульская область,659.6692805429851,411871.0,38508.0,7055.64158737197
Тюменская область,2051.854543059002,1090259.0,101083.5,22130.742230541724
Удмуртская Республика,515.4720248766251,385984.0,44907.0,4430.577728416044
Ульяновская область,643.4164628958391,322047.0,27255.0,7602.65425155811
Хабаровский край,1584.1047729262318,377718.0,48294.0,12389.631975403785
Челябинская область,1343.353423896575,937175.0,98646.0,12762.375008011197
Чеченская Республика,-320.92607185273397,421988.0,16570.5,-8172.773978394828
Чувашская Республика,311.3583383563603,317123.0,24684.0,4000.117093444501
Чукотский автономный округ,57.31319780659388,14944.0,2083.5,411.08155892572057
Ярославская область,438.30799840022684,319974.0,31116.0,4507.236260448457
