Region,Year,male_pop1559,male_pop1549,ExcessByAge,TotalExcess_15_49,TotalExcess_15_59,ex_per100k_1549,ex_per100k_1559,Excessive Marriages,ex_nup_per100k
Алтайский край,2022,584819.0,466463.0,"[np.float64(-1.271708683472525), np.float64(31.576520201478672), np.float64(39.46949605494706), np.float64(73.07155048955332), np.float64(135.25037915704098), np.float64(40.64246268644263), np.float64(-155.48438444752162), np.float64(-146.53805032868217), np.float64(95.22891997497595)]",163.2543154584685,111.94518510476229,34.99834187458995,19.14185159934309,2007.6000000000001,430.38783354735534
Алтайский край,2023,576369.0,460639.0,"[np.float64(2.1095658263308223), np.float64(36.495800021434434), np.float64(52.21144176568191), np.float64(93.87538881688857), np.float64(164.69068596121878), np.float64(31.355825036985607), np.float64(-162.6119604489404), np.float64(-164.30390019367314), np.float64(117.21832996244711)]",218.12674697959972,171.0411767483737,47.35307843660648,29.675637785580708,2007.6000000000001,435.8293587820397
Амурская область,2022,228799.0,187638.0,"[np.float64(-40.28679738562198), np.float64(-1.7303030303029914), np.float64(36.42423139918333), np.float64(50.53533026113581), np.float64(45.401754892279314), np.float64(138.96581920362496), np.float64(-2.412838359113948), np.float64(-66.07246192200921), np.float64(14.027058393733341)]",226.8971969811845,174.85179345290862,120.92283918032835,76.42157240761918,1890.4,1007.4718340634627
Амурская область,2023,226425.0,185337.0,"[np.float64(-45.43882352941273), np.float64(1.8147186147187995), np.float64(45.58969589365188), np.float64(66.26440092165677), np.float64(59.144801397431365), np.float64(160.16153015934105), np.float64(5.331521267162259), np.float64(-77.31554993339574), np.float64(7.366872416575461)]",292.8678447245494,222.91916720772912,158.01909209955346,98.4516582566983,1890.4,1019.9798205431188
Архангельская область без АО,2022,276243.0,219392.0,"[np.float64(-47.066096256685796), np.float64(33.84784313725322), np.float64(42.95572649572637), np.float64(-3.515156836281676), np.float64(-129.75756019261644), np.float64(90.80259615982027), np.float64(100.21090552284693), np.float64(-34.75739741468283), np.float64(-442.272718729635)]",87.47825803006288,-389.55185811425497,39.87303914001553,-141.0178205834193,684.1999999999999,311.86187281213535
Архангельская область без АО,2023,272674.0,216763.0,"[np.float64(-52.527860962567274), np.float64(46.77689075630019), np.float64(49.668803418803236), np.float64(-2.1434792744180413), np.float64(-145.15773140716738), np.float64(96.83011184987191), np.float64(117.7183067003067), np.float64(-39.85035134422196), np.float64(-497.1584441586847)]",111.16504108112935,-425.8437544217773,51.284140319671415,-156.17321578946923,684.1999999999999,315.64427508384733
Астраханская область,2022,273148.0,218395.0,"[np.float64(5.561904761904657), np.float64(-5.413043478260789), np.float64(31.25230769230791), np.float64(25.907295729769487), np.float64(27.45411467485428), np.float64(50.69974452543397), np.float64(-31.553029624349108), np.float64(68.16177019431251), np.float64(64.69323121468176)]",103.90929428166041,236.76429569065468,47.5786049505073,86.67985696056888,172.79999999999995,79.12269053778701
Астраханская область,2023,270504.0,216469.0,"[np.float64(4.877380952380861), np.float64(-5.741304347825974), np.float64(35.61384615384634), np.float64(23.795786543876744), np.float64(35.151770724546395), np.float64(62.68762218706297), np.float64(-32.028340316780884), np.float64(79.29801330197114), np.float64(70.32706866306034)]",124.35676189710645,273.9818438621379,57.44783867302314,101.28569036396426,172.79999999999995,79.82667264134817
Белгородская область,2022,442249.0,348846.0,"[np.float64(3.5619291819291448), np.float64(29.635833333332585), np.float64(84.6987240829344), np.float64(54.32539186970308), np.float64(122.72879863073058), np.float64(141.54862978100482), np.float64(-87.03442221079547), np.float64(-35.7956824767067), np.float64(200.8688843731502)]",349.46488466883915,514.5380865652826,100.17740913435702,116.34578858635805,1182.4,338.94612522431106
Белгородская область,2023,433216.0,342125.0,"[np.float64(4.0492796092795516), np.float64(35.919166666666115), np.float64(96.1103468899521), np.float64(57.067893478454636), np.float64(150.27703801875305), np.float64(171.98441209745852), np.float64(-100.37962701579931), np.float64(-35.38176316573026), np.float64(229.3914733267054)]",415.0285097447646,609.0382199057398,121.30902732766229,140.5853477031642,1182.4,345.60467665327
