,Region,Date,slavic_name,non_slavic_name,pmc,drafted,volunteers,prisoners,contract,total,slavic_cumulative,non_slavic_cumulative,Deposits,Excessive Marriages,ex_nup_per100k,% Russians,population,urban_share,uneployment,median_income,consumption,av_income,share_poverty,region_type,region,position,governor,start,end,birth_year,insider,approved,nat_rep
0,Алтайский край,2022-02-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,223441,2007.6,343.2857003619923,95.45,2154900.0,0.5823936145528794,3.7,24037.0,25062.0,31145.0,15.4,Kraya (regions),Altay,Heads of the administration/governors,Viktor Tomenko,2018-05-30,2025-08-03,1971.0,0.0,1.0,0.0
1,Алтайский край,2022-03-01,33.0,2.0,0.0,0.0,0.0,0.0,35.0,35.0,34.0,2.0,221270,2007.6,343.2857003619923,95.45,2154900.0,0.5823936145528794,3.7,24037.0,25062.0,31145.0,15.4,Kraya (regions),Altay,Heads of the administration/governors,Viktor Tomenko,2018-05-30,2025-08-03,1971.0,0.0,1.0,0.0
2,Алтайский край,2022-04-01,30.0,2.0,0.0,0.0,2.0,0.0,30.0,32.0,64.0,4.0,227749,2007.6,343.2857003619923,95.45,2154900.0,0.5823936145528794,3.7,24037.0,25062.0,31145.0,15.4,Kraya (regions),Altay,Heads of the administration/governors,Viktor Tomenko,2018-05-30,2025-08-03,1971.0,0.0,1.0,0.0
3,Алтайский край,2022-05-01,57.0,5.0,0.0,0.0,2.0,0.0,60.0,62.0,121.0,9.0,238135,2007.6,343.2857003619923,95.45,2154900.0,0.5823936145528794,3.7,24037.0,25062.0,31145.0,15.4,Kraya (regions),Altay,Heads of the administration/governors,Viktor Tomenko,2018-05-30,2025-08-03,1971.0,0.0,1.0,0.0
4,Алтайский край,2022-06-01,31.0,3.0,0.0,0.0,4.0,0.0,30.0,34.0,152.0,12.0,241712,2007.6,343.2857003619923,95.45,2154900.0,0.5823936145528794,3.7,24037.0,25062.0,31145.0,15.4,Kraya (regions),Altay,Heads of the administration/governors,Viktor Tomenko,2018-05-30,2025-08-03,1971.0,0.0,1.0,0.0
5,Алтайский край,2022-07-01,108.0,4.0,14.0,0.0,4.0,0.0,66.0,112.0,260.0,16.0,244485,2007.6,343.2857003619923,95.45,2154900.0,0.5823936145528794,3.7,24037.0,25062.0,31145.0,15.4,Kraya (regions),Altay,Heads of the administration/governors,Viktor Tomenko,2018-05-30,2025-08-03,1971.0,0.0,1.0,0.0
6,Алтайский край,2022-08-01,9.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,269.0,16.0,244785,2007.6,343.2857003619923,95.45,2154900.0,0.5823936145528794,3.7,24037.0,25062.0,31145.0,15.4,Kraya (regions),Altay,Heads of the administration/governors,Viktor Tomenko,2018-05-30,2025-08-03,1971.0,0.0,1.0,0.0
7,Алтайский край,2022-09-01,7.0,0.0,0.0,0.0,3.0,0.0,4.0,7.0,276.0,16.0,243270,2007.6,343.2857003619923,95.45,2154900.0,0.5823936145528794,3.7,24037.0,25062.0,31145.0,15.4,Kraya (regions),Altay,Heads of the administration/governors,Viktor Tomenko,2018-05-30,2025-08-03,1971.0,0.0,1.0,0.0
8,Алтайский край,2022-10-01,31.0,2.0,0.0,0.0,7.0,0.0,0.0,33.0,307.0,18.0,244465,2007.6,343.2857003619923,95.45,2154900.0,0.5823936145528794,3.7,24037.0,25062.0,31145.0,15.4,Kraya (regions),Altay,Heads of the administration/governors,Viktor Tomenko,2018-05-30,2025-08-03,1971.0,0.0,1.0,0.0
9,Алтайский край,2022-11-01,30.0,3.0,0.0,0.0,6.0,0.0,27.0,33.0,337.0,21.0,244343,2007.6,343.2857003619923,95.45,2154900.0,0.5823936145528794,3.7,24037.0,25062.0,31145.0,15.4,Kraya (regions),Altay,Heads of the administration/governors,Viktor Tomenko,2018-05-30,2025-08-03,1971.0,0.0,1.0,0.0
