,year,Region,reg_inc,other_transfers,share_of_total,share_of_income,population,urban_share,disability_per10k,uneployment,median_income,consumption,av_income,share_poverty,% Russians,% Slavs
0,2019,Алтайский край,126456.64,14280.159,1.815500117201814,11.292533946813705,2250100.0,0.5722412337229457,66.0,5.8,18932.4,18389.0,23993.0,17.6,95.45,96.08
1,2019,Амурская область,83459.18000000001,5009.3025,0.6368549030756127,6.002098870369921,786600.0,0.6767098906687007,46.9,5.4,25435.7,26407.0,33304.0,15.7,95.17,95.95
2,2019,Архангельская область,107888.59,12450.7983,1.5829253562867291,11.540421744319767,1071600.0,0.7718365061590147,72.6,6.3,27990.9,29219.0,35724.0,13.6,96.23,97.06
3,2019,Астраханская область,59107.95,7686.2835,0.9771914020772715,13.00380659454439,991100.0,0.6532136010493391,46.3,7.6,20134.4,21558.0,24971.0,15.5,67.1,67.57
4,2019,Белгородская область,123221.52,7494.7127,0.9528361543624216,6.082308268880306,1550900.0,0.6568444129215294,53.5,3.9,25110.3,26119.0,32398.0,7.8,95.29,96.57
5,2019,Брянская область,74255.39,6288.8611,0.7995308780606664,8.469231795833272,1197100.0,0.6968507225795674,76.1,3.8,22422.6,24520.0,28422.0,13.8,95.87,96.56
6,2019,Владимирская область,78339.0,7306.0467,0.9288502067891489,9.326193466855589,1379400.0,0.7785268957517761,64.1,4.0,20985.3,20938.0,25391.0,12.6,95.76,96.22
7,2019,Волгоградская область,131317.24,20827.3009,2.647867381935134,15.86029442897216,2538700.0,0.7700397841414899,57.2,5.3,19787.3,21003.0,24160.0,12.9,92.52,92.97
8,2019,Вологодская область,105341.34,10584.9206,1.3457080267714032,10.048211461900902,1166900.0,0.7238837946696375,53.3,4.5,23026.0,21104.0,28418.0,12.9,96.71,97.17
9,2019,Воронежская область,142042.4,9671.201,1.2295427907337935,6.8086719176809165,2338600.0,0.6810057299238861,69.0,3.6,24566.0,27904.0,32022.0,8.9,95.64,96.31
10,2019,Еврейская АО,14999.65,1276.7517,0.16231912130583523,8.511876610454244,156700.0,0.7077217613273773,75.5,6.2,21995.3,20939.0,26602.0,23.9,95.67,96.72
11,2019,Забайкальский край,89703.70999999999,13156.2068,1.6726070758267677,14.666290613844177,1035099.9999999999,0.684571538981741,55.3,9.3,20647.2,19532.0,25750.0,21.5,89.22,89.47
12,2019,Ивановская область,51289.340000000004,6845.3668,0.8702819224694491,13.346568312245779,965300.0,0.8163265306122449,77.9,3.8,20764.9,20617.0,25794.0,14.2,95.98,96.39
13,2019,Иркутская область,227155.6,17674.9092,2.2470898065022538,7.78097004872431,2402400.0,0.7811771561771562,65.6,6.6,21113.9,19652.0,26355.0,17.9,92.21,92.78
14,2019,Кабардино-Балкария,41206.64,3761.5607,0.47822393936312174,9.128530498968129,892100.0,0.5237081044725928,43.9,10.7,17783.0,17746.0,21475.0,24.2,19.84,20.03
