,Region,Total,Drafted,Volunteers,Prisoners,PMC
0,###,570,14.0,35,271,23.0
1,Иностранцы,370,,117,138,30.0
2,Санкт-Петербург,1022,127.0,249,125,50.0
3,Москва,1325,191.0,324,134,54.0
4,ЛНР,92,3.0,21,8,10.0
5,ДНР,205,15.0,54,6,11.0
6,Республика Крым,940,70.0,250,83,36.0
7,Севастополь,261,21.0,78,20,6.0
8,Калининградская область,960,79.0,161,121,29.0
9,Ленинградская область,1002,111.0,286,122,39.0
10,Псковская область,697,57.0,115,65,13.0
11,Смоленская область,423,46.0,82,71,9.0
12,Брянская область,1163,156.0,295,202,19.0
13,Республика Карелия,756,61.0,166,106,12.0
14,Новгородская область,585,81.0,175,87,14.0
15,Тверская область,1023,171.0,211,168,22.0
16,Калужская область,659,98.0,176,101,18.0
17,Орловская область,555,76.0,125,115,23.0
18,Курская область,761,136.0,187,112,25.0
19,Республика Адыгея,252,10.0,67,39,17.0
20,Мурманская область,507,33.0,105,119,14.0
21,Вологодская область,1123,130.0,314,188,26.0
22,Ярославская область,584,98.0,145,88,12.0
23,Московская область,3142,321.0,763,520,91.0
24,Тульская область,600,77.0,108,104,16.0
25,Липецкая область,745,129.0,176,110,14.0
26,Белгородская область,1169,171.0,276,114,61.0
27,Краснодарский край,3287,279.0,652,557,208.0
28,Карачаево-Черкесия,207,14.0,47,23,3.0
29,Кабардино-Балкария,274,22.0,66,17,8.0
30,Ивановская область,918,89.0,195,116,17.0
31,Владимирская область,831,97.0,215,144,24.0
32,Рязанская область,539,48.0,118,72,16.0
33,Тамбовская область,745,68.0,220,84,21.0
34,Воронежская область,1297,157.0,268,150,31.0
35,Ростовская область,2281,318.0,469,397,93.0
36,Ставропольский край,1642,105.0,287,290,65.0
37,Северная Осетия,807,78.0,155,60,15.0
38,Костромская область,548,34.0,88,67,7.0
39,Нижегородская область,1814,153.0,435,346,35.0
40,Республика Мордовия,506,99.0,106,64,5.0
41,Пензенская область,836,67.0,207,147,19.0
42,Волгоградская область,2184,355.0,443,425,58.0
43,Республика Калмыкия,288,40.0,79,39,5.0
44,Чеченская Республика,341,,115,11,1.0
45,Республика Ингушетия,140,4.0,17,6,
46,Республика Марий Эл,833,102.0,217,98,15.0
47,Чувашская Республика,951,87.0,277,109,18.0
48,Ульяновская область,1112,91.0,193,149,16.0
49,Саратовская область,2560,155.0,693,372,50.0
50,Астраханская область,1043,95.0,259,232,15.0
51,Республика Дагестан,1489,155.0,245,70,22.0
52,Архангельская область без АО,1237,175.0,356,255,36.0
53,Кировская область,1791,122.0,478,222,35.0
54,Республика Татарстан,4958,669.0,1392,536,52.0
55,Самарская область,2132,347.0,426,295,49.0
56,Оренбургская область,2176,280.0,555,376,49.0
57,Ненецкий АО,70,5.0,16,15,2.0
58,Республика Коми,1038,88.0,222,222,42.0
59,Пермский край,3395,245.0,968,615,81.0
60,Удмуртская Республика,1808,67.0,433,301,28.0
61,Республика Башкортостан,5034,694.0,2191,657,57.0
62,Ямало-Hенецкий АО,499,50.0,161,71,7.0
63,Ханты-Мансийский АО,1084,173.0,307,171,26.0
64,Свердловская область,3877,513.0,967,765,98.0
65,Челябинская область,3331,288.0,633,535,107.0
66,Тюменская область без АО,1233,104.0,332,208,39.0
67,Курганская область,882,50.0,187,139,28.0
68,Омская область,1551,204.0,356,213,34.0
69,Томская область,847,87.0,211,152,19.0
70,Новосибирская область,2128,226.0,506,314,71.0
71,Алтайский край,2051,235.0,582,288,52.0
72,Республика Алтай,515,31.0,232,62,10.0
73,Красноярский край,2258,264.0,440,490,54.0
74,Кемеровская область,2038,177.0,342,497,50.0
75,Республика Хакасия,750,102.0,246,114,14.0
76,Республика Тыва,1097,57.0,169,228,13.0
77,Иркутская область,2556,303.0,776,457,54.0
78,Республика Бурятия,2535,486.0,873,371,28.0
79,Забайкальский край,1778,156.0,350,415,33.0
80,Якутия,1203,238.0,329,178,20.0
81,Амурская область,507,47.0,91,85,4.0
82,Еврейская АО,115,2.0,15,20,1.0
83,Чукотский АО,114,16.0,63,14,
84,Магаданская область,169,41.0,22,41,6.0
85,Хабаровский край,658,66.0,136,93,13.0
86,Приморский край,1881,194.0,336,274,28.0
87,Камчатский край,427,43.0,101,61,5.0
88,Сахалинская область,938,46.0,154,86,3.0
