,first_name,last_name
0,Николай,Железняк
1,Александр,Бегин
2,Михаил,Пономаренко
3,Владимир,Балабанов
4,Владимир,Высоцкий
5,Олег,Лисовский
6,Михаил,Строцкий
7,Олег,Федотов
8,Алексей,Маркевич
9,Евгений,Пауль
10,Денис,Матвиенко
11,Евгений,Стальной
12,Станислав,Антипов
13,Николай,Поверенов
14,Илья,Тропин
15,Андрей,Руденко
16,Игорь,Иванов
17,Сергей,Сивцов
18,Никита,Костриков
19,Андрей,Скобков
20,Алексей,Пастухов
21,Илья,Артищев
22,Иван,Афанасов
23,Константин,Вышиденко
24,Антон,Губин
25,Кирилл,Гусельников
26,Дмитрий,Дьяконов
27,Андрей,Качалов
28,Виталий,Колпаков
29,Данил,Коновалов
30,Сергей,Лазуткин
31,Дмитрий,Мокрецов
32,Андрей,Недавных
33,Владислав,Петраков
34,Иван,Полин
35,Семен,Попов
36,Юрий,Рысиков
37,Андрей,Савченко
38,Максим,Селезнев
39,Дмитрий,Череповский
40,Кирилл,Федосеев
41,Евгений,Дугнист
42,Владимир,Рожков
43,Константин,Похоруков
44,Максим,Бежин
45,Марк,Кёниг
46,Игорь,Швенк
47,Рафаель,Антонян
48,Дмитрий,Вигриянов
49,Егор,Кордюков
50,Артем,Хомяков
51,Владимир,Скрыпин
52,Дмитрий,Нагих
53,Роман,Абрамов
54,Дмитрий,Епихин
55,Владимир,Вотеев
56,Алексей,Власенко
57,Станислав,Высоцкий
58,Виталий,Насонов
59,Иван,Зброжек
60,Александр,Мусохранов
61,Станислав,Лямкин
62,Денис,Щербан
63,Арсений,Верещагин
64,Владимир,Иванов
65,Евгений,Сорочкин
66,Михаил,Солдатов
67,Юрий,Семичев
68,Алексей,Бочкарёв
69,Евгений,Леонидченко
70,Игорь,Сердюков
71,Михаил,Баранов
72,Александр,Дробыш
73,Денис,Оксаниченко
74,Евгений,Чевгун
75,Руслан,Шепелев
76,Константин,Воробьев
77,Сергей,Конокпоев
78,Тимофей,Сысоев
79,Вадим,Линкин
80,Вячеслав,Толстогуз
81,Александр,Браткрайц
82,Эдуард,Богданов
83,Владимир,Долгих
84,Андрей,Белянов
85,Станислав,Генералов
86,Роман,Черкашин
87,Николай,Прозоров
88,Никита,Кирьянов
89,Андрей,Кононов
90,Иван,Ваньковский
91,Александр,Левочкин
92,Дмитрий,Журавлев
93,Алексей,Соколов
94,Андрей,Беляев
95,Александр,Берстенёв
96,Олег,Булгаков
97,Николай,Ган
98,Сергей,Жигулин
99,Виктор,Казанцев
100,Александр,Кузьменков
101,Василий,Маленко
102,Евгений,Новиков
103,Евгений,Осинцев
104,Алексей,Светлов
105,Игорь,Храпов
106,Александр,Шеламов
107,Кирилл,Воронцов
108,Николай,Макаров
109,Андрей,Прохоров
110,Евгений,Григорьев
111,Александр,Маслов
112,Евгений,Ямщиков
113,Глеб,Конокпоев
114,Алексей,Балышев
115,Александр,Гроза
116,Максим,Григорьев
117,Виталий,Яблочкин
118,Олег,Леер
119,Михаил,Чернов
120,Алексей,Латышев
121,Виталий,Бунеев
122,Иван,Бегинин
123,Вячеслав,Кабаков
124,Никита,Булухта
125,Владимир,Верхушин
126,Владимир,Дорофеев
127,Роман,Семёнов
128,Игорь,Елесин
129,Николай,Певнев
130,Сергей,Пантелеев
131,Максим,Березкин
132,Виталий,Янчинский
133,Иван,Арнаутов
134,Александр,Чернов
135,Роман,Вольных
136,Владимир,Костин
137,Александр,Карташов
138,Григорий,Когут
139,Антон,Зюганов
140,Олег,Тайлаков
141,Константин,Коробейников
142,Владимир,Спицин
143,Артем,Ефремов
144,Сергей,Симонян
145,Руслан,Кирилюк
146,Кирилл,Кузнецов
147,Игорь,Свиридов
148,Евгений,Борзых
149,Дмитрий,Новиков
150,Данил,Ковтун
151,Александр,Семенченко
152,Сергей,Исайкин
153,Николай,Попов
154,Виталий,Балаков
155,Евгений,Фотин
156,Николай,Студенков
157,Владимир,Егупов
158,Валерий,Петунин
159,Егор,Учайкин
160,Евгений,Колесников
161,Вадим,Трофимов
162,Василий,Душкин
163,Дмитрий,Машкин
164,Сергей,Ахапкин
165,Геннадий,Багринцев
166,Андрей,Герасимов
167,Руслан,Акуленко
168,Андрей,Пастухов
169,Виктор,Жуков
170,Николай,Кондратович
