region,value
"Республика Мордовия",5
"Алтайский край",52
"Амурская область",4
"Архангельская область",36
"Астраханская область",15
"Белгородская область",61
"Брянская область",19
"Владимирская область",24
"Волгоградская область",58
"Вологодская область",26
"Воронежская область",31
"Ставропольский край",65
"ДНР",11
"Московская область",91
"Забайкальский край",33
"Ивановская область",17
"Иркутская область",54
"Калининградская область",29
"Калужская область",18
"Кемеровская область",50
"Кировская область",35
"Краснодарский край",208
"Красноярский край",54
"Курганская область",28
"Курская область",25
"Ленинградская область",39
"Магаданская область",6
"Москва",54
"Республика Коми",42
"Липецкая область",14
"Нижегородская область",35
"Новосибирская область",71
"Оренбургская область",49
"Орловская область",23
"Пензенская область",19
"Пермский край",81
"Псковская область",13
"Республика Адыгея",17
"Республика Башкортостан",57
"Республика Бурятия",28
"Республика Дагестан",22
"Республика Калмыкия",5
"Республика Крым",36
"Республика Марий Эл",15
"Республика Саха (Якутия)",20
"Республика Северная Осетия-Алания",15
"Республика Татарстан",52
"Республика Тыва",13
"Ростовская область",93
"Самарская область",49
"Рязанская область",16
"Санкт-Петербург",50
"Саратовская область",50
"Свердловская область",98
"Смоленская область",9
"Тамбовская область",21
"Тверская область",22
"Томская область",19
"Тюменская область",39
"Удмуртская Республика",28
"Ульяновская область",16
"Хабаровский край",13
"Ханты-Мансийский автономный округ - Югра",26
"Челябинская область",107
"Чувашская Республика",18
"Ярославская область",12
"Мурманская область",14
"Омская область",34
"Новгородская область",14
"Республика Алтай",10
"Тульская область",16
"Сахалинская область",3
"Ямало-Ненецкий автономный округ",7
"Республика Хакасия",14
"Кабардино-Балкарская Республика",8
"Республика Карелия",12
"Приморский край",28
"Костромская область",7
"Севастополь",6
"ЛНР",10
"Ненецкий автономный округ",2
"Камчатский край",5
"Республика Карачаево-Черкесия",3
"###",23
"Иностранцы",30
"Еврейская автономная область",1
"Чеченская Республика",1
