region,value
"Москва",134
"Томская область",152
"Иностранцы",138
"Архангельская область",255
"Астраханская область",232
"Белгородская область",114
"Брянская область",202
"Владимирская область",144
"Волгоградская область",425
"Вологодская область",188
"Воронежская область",150
"Забайкальский край",415
"Ивановская область",116
"Республика Татарстан",536
"Калининградская область",121
"Калужская область",101
"Кировская область",222
"Костромская область",67
"Краснодарский край",557
"Ростовская область",397
"Республика Крым",83
"ЛНР",8
"Нижегородская область",346
"Республика Башкортостан",657
"Ставропольский край",290
"Ленинградская область",122
"###",271
"Республика Мордовия",64
"Саратовская область",372
"Курганская область",139
"Липецкая область",110
"Московская область",520
"Мурманская область",119
"Удмуртская Республика",301
"Новгородская область",87
"Новосибирская область",314
"Омская область",213
"Оренбургская область",376
"Орловская область",115
"Пензенская область",147
"Пермский край",615
"Республика Коми",222
"Приморский край",274
"Псковская область",65
"Республика Адыгея",39
"Республика Дагестан",70
"Республика Карачаево-Черкесия",23
"Республика Карелия",106
"Республика Марий Эл",98
"Республика Северная Осетия-Алания",60
"Республика Тыва",228
"Рязанская область",72
"Самарская область",295
"Санкт-Петербург",125
"Свердловская область",765
"Севастополь",20
"Тамбовская область",84
"Тверская область",168
"Тульская область",104
"Ульяновская область",149
"Ханты-Мансийский автономный округ - Югра",171
"Челябинская область",535
"Чувашская Республика",109
"Ярославская область",88
"Республика Ингушетия",6
"Курская область",112
"Ненецкий автономный округ",15
"Республика Хакасия",114
"Красноярский край",490
"Республика Калмыкия",39
"Сахалинская область",86
"Амурская область",85
"Тюменская область",208
"Республика Саха (Якутия)",178
"Алтайский край",288
"Смоленская область",71
"Ямало-Ненецкий автономный округ",71
"Иркутская область",457
"Республика Бурятия",371
"Кемеровская область",497
"Камчатский край",61
"Еврейская автономная область",20
"Республика Алтай",62
"Кабардино-Балкарская Республика",17
"Чеченская Республика",11
"Чукотский автономный округ",14
"Магаданская область",41
"Хабаровский край",93
"ДНР",6
