Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Липецкая область, все устройства
февраль 2022;33;0,000040;
март 2022;334;0,000373;
апрель 2022;183;0,000224;
май 2022;176;0,000218;
июнь 2022;181;0,000250;
июль 2022;205;0,000280;
август 2022;194;0,000264;
сентябрь 2022;411;0,000512;
октябрь 2022;357;0,000415;
ноябрь 2022;338;0,000392;
декабрь 2022;409;0,000460;
январь 2023;445;0,000509;
февраль 2023;412;0,000512;
март 2023;530;0,000604;
апрель 2023;396;0,000495;
май 2023;416;0,000530;
июнь 2023;377;0,000515;
июль 2023;425;0,000576;
август 2023;498;0,000694;
сентябрь 2023;453;0,000610;
октябрь 2023;608;0,000725;
ноябрь 2023;678;0,000812;
декабрь 2023;584;0,000694;
январь 2024;685;0,000803;
февраль 2024;803;0,001009;
март 2024;1 019;0,001251;
апрель 2024;670;0,000876;
май 2024;800;0,001092;
июнь 2024;709;0,001086;
июль 2024;737;0,001122;
август 2024;854;0,001285;
сентябрь 2024;824;0,001223;
октябрь 2024;1 066;0,001392;
ноябрь 2024;1 436;0,001812;
декабрь 2024;1 199;0,001469;
январь 2025;1 388;0,001690;
февраль 2025;1 462;0,001869;
март 2025;2 006;0,002469;
апрель 2025;1 632;0,002145;
май 2025;1 639;0,002261;
