Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Рязанская область, все устройства
февраль 2022;34;0,000038;
март 2022;488;0,000512;
апрель 2022;296;0,000328;
май 2022;392;0,000450;
июнь 2022;287;0,000368;
июль 2022;251;0,000327;
август 2022;279;0,000360;
сентябрь 2022;475;0,000554;
октябрь 2022;443;0,000486;
ноябрь 2022;380;0,000411;
декабрь 2022;312;0,000341;
январь 2023;301;0,000328;
февраль 2023;392;0,000468;
март 2023;415;0,000452;
апрель 2023;351;0,000418;
май 2023;313;0,000374;
июнь 2023;317;0,000392;
июль 2023;338;0,000424;
август 2023;395;0,000514;
сентябрь 2023;352;0,000436;
октябрь 2023;370;0,000409;
ноябрь 2023;420;0,000469;
декабрь 2023;597;0,000649;
январь 2024;806;0,000872;
февраль 2024;817;0,000934;
март 2024;728;0,000809;
апрель 2024;899;0,001103;
май 2024;768;0,000957;
июнь 2024;637;0,000893;
июль 2024;957;0,001300;
август 2024;834;0,001116;
сентябрь 2024;933;0,001201;
октябрь 2024;1 271;0,001460;
ноябрь 2024;1 276;0,001398;
декабрь 2024;1 229;0,001315;
январь 2025;1 410;0,001488;
февраль 2025;1 504;0,001713;
март 2025;2 009;0,002223;
апрель 2025;2 183;0,002551;
май 2025;1 931;0,002382;
