Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Тамбовская область, все устройства
февраль 2022;35;0,000055;
март 2022;321;0,000466;
апрель 2022;308;0,000484;
май 2022;183;0,000290;
июнь 2022;217;0,000393;
июль 2022;281;0,000504;
август 2022;187;0,000339;
сентябрь 2022;344;0,000547;
октябрь 2022;289;0,000422;
ноябрь 2022;308;0,000451;
декабрь 2022;301;0,000430;
январь 2023;434;0,000631;
февраль 2023;374;0,000595;
март 2023;367;0,000537;
апрель 2023;273;0,000438;
май 2023;273;0,000449;
июнь 2023;307;0,000549;
июль 2023;364;0,000650;
август 2023;335;0,000622;
сентябрь 2023;383;0,000663;
октябрь 2023;603;0,000921;
ноябрь 2023;701;0,001085;
декабрь 2023;689;0,001058;
январь 2024;873;0,001315;
февраль 2024;1 034;0,001670;
март 2024;959;0,001533;
апрель 2024;815;0,001423;
май 2024;893;0,001576;
июнь 2024;702;0,001421;
июль 2024;818;0,001643;
август 2024;839;0,001674;
сентябрь 2024;963;0,001825;
октябрь 2024;1 128;0,001887;
ноябрь 2024;1 449;0,002321;
декабрь 2024;1 182;0,001832;
январь 2025;1 455;0,002247;
февраль 2025;1 834;0,003008;
март 2025;1 828;0,002912;
апрель 2025;2 008;0,003402;
май 2025;1 800;0,003255;
