Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Ярославская область, все устройства
февраль 2022;39;0,000038;
март 2022;245;0,000220;
апрель 2022;186;0,000177;
май 2022;181;0,000174;
июнь 2022;213;0,000229;
июль 2022;132;0,000147;
август 2022;95;0,000104;
сентябрь 2022;308;0,000303;
октябрь 2022;531;0,000491;
ноябрь 2022;333;0,000307;
декабрь 2022;348;0,000324;
январь 2023;399;0,000371;
февраль 2023;506;0,000512;
март 2023;517;0,000475;
апрель 2023;342;0,000344;
май 2023;293;0,000297;
июнь 2023;300;0,000330;
июль 2023;414;0,000460;
август 2023;251;0,000288;
сентябрь 2023;337;0,000364;
октябрь 2023;395;0,000382;
ноябрь 2023;433;0,000424;
декабрь 2023;372;0,000362;
январь 2024;575;0,000550;
февраль 2024;663;0,000679;
март 2024;678;0,000665;
апрель 2024;598;0,000628;
май 2024;626;0,000693;
июнь 2024;630;0,000779;
июль 2024;747;0,000937;
август 2024;843;0,001060;
сентябрь 2024;862;0,001023;
октябрь 2024;1 119;0,001160;
ноябрь 2024;1 272;0,001270;
декабрь 2024;1 085;0,001041;
январь 2025;1 227;0,001183;
февраль 2025;1 429;0,001449;
март 2025;1 844;0,001769;
апрель 2025;1 710;0,001707;
май 2025;1 633;0,001755;
