Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Архангельская область, все устройства
февраль 2022;47;0,000067;
март 2022;225;0,000304;
апрель 2022;149;0,000204;
май 2022;208;0,000298;
июнь 2022;112;0,000187;
июль 2022;74;0,000131;
август 2022;79;0,000142;
сентябрь 2022;348;0,000521;
октябрь 2022;326;0,000449;
ноябрь 2022;208;0,000282;
декабрь 2022;154;0,000207;
январь 2023;332;0,000454;
февраль 2023;381;0,000566;
март 2023;552;0,000752;
апрель 2023;551;0,000776;
май 2023;383;0,000575;
июнь 2023;408;0,000703;
июль 2023;294;0,000525;
август 2023;394;0,000728;
сентябрь 2023;348;0,000561;
октябрь 2023;446;0,000640;
ноябрь 2023;538;0,000770;
декабрь 2023;436;0,000612;
январь 2024;583;0,000819;
февраль 2024;765;0,001139;
март 2024;1 069;0,001555;
апрель 2024;967;0,001434;
май 2024;760;0,001193;
июнь 2024;826;0,001569;
июль 2024;709;0,001405;
август 2024;708;0,001411;
сентябрь 2024;716;0,001259;
октябрь 2024;1 077;0,001648;
ноябрь 2024;1 116;0,001637;
декабрь 2024;1 183;0,001659;
январь 2025;1 225;0,001777;
февраль 2025;1 446;0,002169;
март 2025;1 804;0,002576;
апрель 2025;2 088;0,003105;
май 2025;1 812;0,002915;
