Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Псковская область, все устройства
февраль 2022;25;0,000063;
март 2022;449;0,001069;
апрель 2022;281;0,000695;
май 2022;284;0,000721;
июнь 2022;494;0,001378;
июль 2022;189;0,000524;
август 2022;157;0,000434;
сентябрь 2022;381;0,000981;
октябрь 2022;388;0,000925;
ноябрь 2022;274;0,000648;
декабрь 2022;246;0,000588;
январь 2023;238;0,000559;
февраль 2023;425;0,001098;
март 2023;356;0,000840;
апрель 2023;346;0,000886;
май 2023;272;0,000710;
июнь 2023;354;0,001004;
июль 2023;293;0,000820;
август 2023;212;0,000590;
сентябрь 2023;271;0,000758;
октябрь 2023;331;0,000826;
ноябрь 2023;390;0,000981;
декабрь 2023;303;0,000764;
январь 2024;493;0,001201;
февраль 2024;482;0,001260;
март 2024;585;0,001525;
апрель 2024;615;0,001644;
май 2024;498;0,001400;
июнь 2024;534;0,001655;
июль 2024;550;0,001640;
август 2024;407;0,001245;
сентябрь 2024;514;0,001538;
октябрь 2024;596;0,001581;
ноябрь 2024;782;0,001986;
декабрь 2024;915;0,002288;
январь 2025;944;0,002355;
февраль 2025;1 022;0,002694;
март 2025;1 307;0,003315;
апрель 2025;1 248;0,003276;
май 2025;1 293;0,003496;
