Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Карелия, все устройства
февраль 2022;19;0,000046;
март 2022;193;0,000436;
апрель 2022;115;0,000268;
май 2022;162;0,000389;
июнь 2022;141;0,000380;
июль 2022;165;0,000453;
август 2022;68;0,000186;
сентябрь 2022;312;0,000764;
октябрь 2022;169;0,000390;
ноябрь 2022;90;0,000205;
декабрь 2022;89;0,000205;
январь 2023;152;0,000355;
февраль 2023;261;0,000655;
март 2023;320;0,000731;
апрель 2023;256;0,000621;
май 2023;220;0,000558;
июнь 2023;229;0,000639;
июль 2023;177;0,000480;
август 2023;253;0,000714;
сентябрь 2023;250;0,000664;
октябрь 2023;385;0,000928;
ноябрь 2023;447;0,001089;
декабрь 2023;439;0,001059;
январь 2024;481;0,001140;
февраль 2024;447;0,001133;
март 2024;458;0,001120;
апрель 2024;415;0,001052;
май 2024;422;0,001139;
июнь 2024;445;0,001373;
июль 2024;463;0,001401;
август 2024;505;0,001534;
сентябрь 2024;410;0,001198;
октябрь 2024;495;0,001279;
ноябрь 2024;691;0,001721;
декабрь 2024;620;0,001489;
январь 2025;863;0,002104;
февраль 2025;836;0,002119;
март 2025;1 159;0,002797;
апрель 2025;1 272;0,003225;
май 2025;1 153;0,003086;
