Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Пермский край, все устройства
февраль 2022;53;0,000030;
март 2022;573;0,000309;
апрель 2022;412;0,000233;
май 2022;463;0,000272;
июнь 2022;420;0,000271;
июль 2022;384;0,000271;
август 2022;318;0,000220;
сентябрь 2022;850;0,000515;
октябрь 2022;826;0,000461;
ноябрь 2022;451;0,000249;
декабрь 2022;412;0,000224;
январь 2023;776;0,000433;
февраль 2023;790;0,000470;
март 2023;810;0,000441;
апрель 2023;787;0,000457;
май 2023;610;0,000373;
июнь 2023;681;0,000453;
июль 2023;509;0,000357;
август 2023;675;0,000475;
сентябрь 2023;616;0,000397;
октябрь 2023;719;0,000413;
ноябрь 2023;1 213;0,000704;
декабрь 2023;1 039;0,000583;
январь 2024;1 503;0,000867;
февраль 2024;1 702;0,001028;
март 2024;2 132;0,001270;
апрель 2024;1 889;0,001169;
май 2024;1 925;0,001221;
июнь 2024;2 121;0,001606;
июль 2024;1 984;0,001502;
август 2024;2 037;0,001541;
сентябрь 2024;2 444;0,001707;
октябрь 2024;2 650;0,001611;
ноябрь 2024;3 073;0,001821;
декабрь 2024;3 008;0,001715;
январь 2025;3 655;0,002145;
февраль 2025;4 130;0,002467;
март 2025;4 480;0,002590;
апрель 2025;4 682;0,002754;
май 2025;4 032;0,002614;
