Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Марий Эл, все устройства
февраль 2022;30;0,000086;
март 2022;147;0,000387;
апрель 2022;140;0,000388;
май 2022;111;0,000313;
июнь 2022;85;0,000274;
июль 2022;42;0,000140;
август 2022;75;0,000253;
сентябрь 2022;149;0,000437;
октябрь 2022;132;0,000356;
ноябрь 2022;110;0,000293;
декабрь 2022;131;0,000341;
январь 2023;143;0,000377;
февраль 2023;239;0,000686;
март 2023;194;0,000505;
апрель 2023;208;0,000595;
май 2023;139;0,000398;
июнь 2023;164;0,000532;
июль 2023;124;0,000411;
август 2023;183;0,000614;
сентябрь 2023;153;0,000471;
октябрь 2023;167;0,000456;
ноябрь 2023;244;0,000670;
декабрь 2023;239;0,000642;
январь 2024;234;0,000639;
февраль 2024;283;0,000828;
март 2024;312;0,000879;
апрель 2024;403;0,001213;
май 2024;374;0,001138;
июнь 2024;340;0,001241;
июль 2024;375;0,001374;
август 2024;355;0,001299;
сентябрь 2024;394;0,001344;
октябрь 2024;589;0,001717;
ноябрь 2024;642;0,001802;
декабрь 2024;504;0,001347;
январь 2025;732;0,001978;
февраль 2025;755;0,002136;
март 2025;716;0,001930;
апрель 2025;801;0,002230;
май 2025;743;0,002230;
