Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Мордовия, все устройства
февраль 2022;14;0,000030;
март 2022;196;0,000389;
апрель 2022;123;0,000259;
май 2022;93;0,000196;
июнь 2022;94;0,000231;
июль 2022;120;0,000308;
август 2022;74;0,000193;
сентябрь 2022;172;0,000378;
октябрь 2022;344;0,000703;
ноябрь 2022;210;0,000419;
декабрь 2022;201;0,000395;
январь 2023;260;0,000519;
февраль 2023;336;0,000744;
март 2023;311;0,000630;
апрель 2023;278;0,000620;
май 2023;323;0,000712;
июнь 2023;281;0,000702;
июль 2023;307;0,000790;
август 2023;301;0,000807;
сентябрь 2023;243;0,000585;
октябрь 2023;272;0,000568;
ноябрь 2023;367;0,000780;
декабрь 2023;342;0,000712;
январь 2024;488;0,001043;
февраль 2024;640;0,001471;
март 2024;651;0,001456;
апрель 2024;593;0,001427;
май 2024;587;0,001410;
июнь 2024;494;0,001411;
июль 2024;635;0,001832;
август 2024;476;0,001378;
сентябрь 2024;545;0,001468;
октябрь 2024;784;0,001815;
ноябрь 2024;874;0,001941;
декабрь 2024;848;0,001791;
январь 2025;1 170;0,002548;
февраль 2025;1 320;0,003018;
март 2025;1 141;0,002525;
апрель 2025;1 185;0,002770;
май 2025;1 133;0,002891;
