Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Татарстан, все устройства
февраль 2022;64;0,000026;
март 2022;601;0,000220;
апрель 2022;758;0,000287;
май 2022;471;0,000185;
июнь 2022;476;0,000218;
июль 2022;328;0,000157;
август 2022;352;0,000164;
сентябрь 2022;687;0,000278;
октябрь 2022;756;0,000282;
ноябрь 2022;564;0,000210;
декабрь 2022;555;0,000206;
январь 2023;610;0,000227;
февраль 2023;808;0,000326;
март 2023;801;0,000294;
апрель 2023;812;0,000326;
май 2023;705;0,000286;
июнь 2023;629;0,000291;
июль 2023;706;0,000334;
август 2023;817;0,000384;
сентябрь 2023;643;0,000268;
октябрь 2023;833;0,000311;
ноябрь 2023;1 154;0,000438;
декабрь 2023;1 080;0,000403;
январь 2024;1 440;0,000550;
февраль 2024;1 602;0,000654;
март 2024;1 780;0,000697;
апрель 2024;1 653;0,000695;
май 2024;2 117;0,000903;
июнь 2024;1 842;0,000943;
июль 2024;2 247;0,001152;
август 2024;2 024;0,001034;
сентябрь 2024;2 377;0,001103;
октябрь 2024;3 059;0,001232;
ноябрь 2024;3 682;0,001427;
декабрь 2024;3 246;0,001211;
январь 2025;4 187;0,001554;
февраль 2025;4 420;0,001708;
март 2025;4 270;0,001591;
апрель 2025;4 122;0,001591;
май 2025;3 688;0,001545;
