Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Самарская область, все устройства
февраль 2022;80;0,000034;
март 2022;839;0,000328;
апрель 2022;528;0,000225;
май 2022;597;0,000256;
июнь 2022;461;0,000222;
июль 2022;470;0,000233;
август 2022;355;0,000174;
сентябрь 2022;895;0,000393;
октябрь 2022;863;0,000353;
ноябрь 2022;706;0,000283;
декабрь 2022;859;0,000341;
январь 2023;1 893;0,000765;
февраль 2023;1 456;0,000641;
март 2023;1 507;0,000613;
апрель 2023;1 195;0,000523;
май 2023;906;0,000402;
июнь 2023;966;0,000470;
июль 2023;989;0,000491;
август 2023;1 026;0,000512;
сентябрь 2023;1 015;0,000475;
октябрь 2023;1 170;0,000488;
ноябрь 2023;1 360;0,000578;
декабрь 2023;1 282;0,000537;
январь 2024;1 551;0,000649;
февраль 2024;1 824;0,000811;
март 2024;1 997;0,000862;
апрель 2024;1 837;0,000858;
май 2024;2 032;0,000963;
июнь 2024;1 873;0,001016;
июль 2024;2 541;0,001390;
август 2024;2 432;0,001317;
сентябрь 2024;2 614;0,001361;
октябрь 2024;3 342;0,001494;
ноябрь 2024;3 588;0,001533;
декабрь 2024;3 276;0,001357;
январь 2025;4 286;0,001786;
февраль 2025;4 681;0,002033;
март 2025;5 221;0,002177;
апрель 2025;5 282;0,002325;
май 2025;4 419;0,002080;
