Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Адыгея, все устройства
февраль 2022;11;0,000051;
март 2022;123;0,000538;
апрель 2022;56;0,000267;
май 2022;104;0,000489;
июнь 2022;101;0,000518;
июль 2022;92;0,000474;
август 2022;116;0,000591;
сентябрь 2022;171;0,000806;
октябрь 2022;229;0,001009;
ноябрь 2022;105;0,000452;
декабрь 2022;94;0,000395;
январь 2023;161;0,000676;
февраль 2023;157;0,000704;
март 2023;119;0,000501;
апрель 2023;122;0,000545;
май 2023;94;0,000426;
июнь 2023;82;0,000413;
июль 2023;120;0,000601;
август 2023;174;0,000875;
сентябрь 2023;116;0,000561;
октябрь 2023;146;0,000662;
ноябрь 2023;208;0,000908;
декабрь 2023;190;0,000815;
январь 2024;226;0,000947;
февраль 2024;182;0,000830;
март 2024;157;0,000701;
апрель 2024;117;0,000561;
май 2024;176;0,000835;
июнь 2024;174;0,000938;
июль 2024;254;0,001348;
август 2024;218;0,001150;
сентябрь 2024;221;0,001116;
октябрь 2024;214;0,000989;
ноябрь 2024;340;0,001512;
декабрь 2024;371;0,001589;
январь 2025;473;0,002013;
февраль 2025;456;0,002015;
март 2025;459;0,001969;
апрель 2025;513;0,002234;
май 2025;547;0,002452;
