Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Алтайский край, все устройства
февраль 2022;91;0,000068;
март 2022;921;0,000637;
апрель 2022;607;0,000459;
май 2022;652;0,000513;
июнь 2022;492;0,000417;
июль 2022;345;0,000303;
август 2022;337;0,000296;
сентябрь 2022;730;0,000577;
октябрь 2022;690;0,000490;
ноябрь 2022;607;0,000411;
декабрь 2022;388;0,000263;
январь 2023;684;0,000469;
февраль 2023;956;0,000707;
март 2023;980;0,000665;
апрель 2023;1 396;0,000998;
май 2023;1 040;0,000793;
июнь 2023;1 009;0,000863;
июль 2023;855;0,000747;
август 2023;803;0,000696;
сентябрь 2023;848;0,000685;
октябрь 2023;1 017;0,000739;
ноябрь 2023;1 138;0,000831;
декабрь 2023;1 147;0,000814;
январь 2024;1 382;0,000994;
февраль 2024;1 585;0,001194;
март 2024;1 995;0,001492;
апрель 2024;1 766;0,001413;
май 2024;1 897;0,001565;
июнь 2024;1 710;0,001634;
июль 2024;2 073;0,002011;
август 2024;2 229;0,002147;
сентябрь 2024;2 314;0,002060;
октябрь 2024;3 005;0,002342;
ноябрь 2024;3 078;0,002346;
декабрь 2024;3 473;0,002550;
январь 2025;4 268;0,003196;
февраль 2025;4 712;0,003622;
март 2025;4 993;0,003668;
апрель 2025;4 425;0,003486;
май 2025;4 126;0,003507;
