Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Воронежская область, все устройства
февраль 2022;161;0,000087;
март 2022;863;0,000436;
апрель 2022;786;0,000436;
май 2022;492;0,000272;
июнь 2022;523;0,000325;
июль 2022;481;0,000302;
август 2022;399;0,000249;
сентябрь 2022;886;0,000492;
октябрь 2022;979;0,000504;
ноябрь 2022;818;0,000421;
декабрь 2022;922;0,000475;
январь 2023;821;0,000428;
февраль 2023;973;0,000548;
март 2023;1 048;0,000540;
апрель 2023;774;0,000429;
май 2023;936;0,000532;
июнь 2023;872;0,000543;
июль 2023;858;0,000544;
август 2023;1 027;0,000672;
сентябрь 2023;858;0,000519;
октябрь 2023;1 126;0,000602;
ноябрь 2023;1 434;0,000780;
декабрь 2023;1 390;0,000756;
январь 2024;2 084;0,001125;
февраль 2024;1 957;0,001120;
март 2024;2 060;0,001161;
апрель 2024;1 786;0,001086;
май 2024;1 812;0,001105;
июнь 2024;1 825;0,001266;
июль 2024;2 034;0,001436;
август 2024;2 145;0,001505;
сентябрь 2024;2 173;0,001400;
октябрь 2024;2 596;0,001485;
ноябрь 2024;2 848;0,001576;
декабрь 2024;2 752;0,001470;
январь 2025;3 730;0,002041;
февраль 2025;4 331;0,002473;
март 2025;4 603;0,002554;
апрель 2025;5 012;0,002936;
май 2025;4 126;0,002572;
