Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Иркутская область, все устройства
февраль 2022;57;0,000036;
март 2022;629;0,000381;
апрель 2022;463;0,000291;
май 2022;332;0,000222;
июнь 2022;345;0,000254;
июль 2022;316;0,000239;
август 2022;295;0,000220;
сентябрь 2022;613;0,000406;
октябрь 2022;543;0,000331;
ноябрь 2022;539;0,000314;
декабрь 2022;384;0,000225;
январь 2023;555;0,000329;
февраль 2023;885;0,000572;
март 2023;1 066;0,000632;
апрель 2023;1 169;0,000712;
май 2023;851;0,000550;
июнь 2023;986;0,000735;
июль 2023;676;0,000528;
август 2023;766;0,000589;
сентябрь 2023;606;0,000423;
октябрь 2023;720;0,000453;
ноябрь 2023;1 016;0,000643;
декабрь 2023;1 151;0,000694;
январь 2024;1 378;0,000859;
февраль 2024;1 544;0,001003;
март 2024;1 632;0,001056;
апрель 2024;1 669;0,001112;
май 2024;1 713;0,001230;
июнь 2024;1 699;0,001411;
июль 2024;1 601;0,001357;
август 2024;1 712;0,001440;
сентябрь 2024;2 393;0,001799;
октябрь 2024;2 648;0,001746;
ноябрь 2024;2 730;0,001746;
декабрь 2024;2 805;0,001678;
январь 2025;3 265;0,002056;
февраль 2025;3 497;0,002226;
март 2025;4 019;0,002497;
апрель 2025;3 931;0,002571;
май 2025;3 458;0,002460;
