Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Хакасия, все устройства
февраль 2022;10;0,000031;
март 2022;152;0,000468;
апрель 2022;95;0,000308;
май 2022;66;0,000224;
июнь 2022;73;0,000268;
июль 2022;95;0,000352;
август 2022;70;0,000258;
сентябрь 2022;172;0,000581;
октябрь 2022;193;0,000601;
ноябрь 2022;89;0,000265;
декабрь 2022;72;0,000213;
январь 2023;151;0,000449;
февраль 2023;228;0,000735;
март 2023;271;0,000813;
апрель 2023;275;0,000842;
май 2023;219;0,000706;
июнь 2023;244;0,000904;
июль 2023;201;0,000751;
август 2023;158;0,000583;
сентябрь 2023;142;0,000493;
октябрь 2023;286;0,000903;
ноябрь 2023;268;0,000841;
декабрь 2023;352;0,001057;
январь 2024;421;0,001271;
февраль 2024;500;0,001611;
март 2024;523;0,001696;
апрель 2024;460;0,001557;
май 2024;416;0,001494;
июнь 2024;474;0,001962;
июль 2024;578;0,002360;
август 2024;529;0,002155;
сентябрь 2024;704;0,002674;
октябрь 2024;780;0,002619;
ноябрь 2024;833;0,002723;
декабрь 2024;758;0,002372;
январь 2025;1 114;0,003488;
февраль 2025;1 029;0,003343;
март 2025;978;0,003110;
апрель 2025;1 180;0,003952;
май 2025;1 009;0,003579;
