Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Амурская область, все устройства
февраль 2022;61;0,00017;
март 2022;209;0,00053;
апрель 2022;147;0,00039;
май 2022;204;0,00056;
июнь 2022;148;0,00045;
июль 2022;108;0,00034;
август 2022;115;0,00037;
сентябрь 2022;283;0,00079;
октябрь 2022;251;0,00064;
ноябрь 2022;187;0,00045;
декабрь 2022;213;0,00052;
январь 2023;225;0,00055;
февраль 2023;328;0,00087;
март 2023;328;0,00080;
апрель 2023;338;0,00087;
май 2023;251;0,00067;
июнь 2023;322;0,00099;
июль 2023;280;0,00089;
август 2023;297;0,00094;
сентябрь 2023;263;0,00077;
октябрь 2023;298;0,00079;
ноябрь 2023;418;0,00111;
декабрь 2023;305;0,00079;
январь 2024;418;0,00110;
февраль 2024;411;0,00114;
март 2024;464;0,00126;
апрель 2024;528;0,00151;
май 2024;404;0,00123;
июнь 2024;336;0,00117;
июль 2024;635;0,00224;
август 2024;519;0,00187;
сентябрь 2024;527;0,00174;
октябрь 2024;678;0,00192;
ноябрь 2024;792;0,00219;
декабрь 2024;749;0,00195;
январь 2025;1 081;0,00290;
февраль 2025;1 113;0,00307;
март 2025;1 257;0,00328;
апрель 2025;1 414;0,00392;
май 2025;1 410;0,00421;
