Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Камчатский край, все устройства
февраль 2022;13;0,000088;
март 2022;111;0,000681;
апрель 2022;47;0,000293;
май 2022;59;0,000370;
июнь 2022;35;0,000260;
июль 2022;33;0,000249;
август 2022;19;0,000137;
сентябрь 2022;89;0,000575;
октябрь 2022;88;0,000526;
ноябрь 2022;77;0,000416;
декабрь 2022;64;0,000377;
январь 2023;64;0,000372;
февраль 2023;102;0,000647;
март 2023;136;0,000789;
апрель 2023;129;0,000763;
май 2023;134;0,000819;
июнь 2023;87;0,000645;
июль 2023;84;0,000643;
август 2023;60;0,000446;
сентябрь 2023;74;0,000520;
октябрь 2023;128;0,000789;
ноябрь 2023;87;0,000542;
декабрь 2023;102;0,000619;
январь 2024;149;0,000894;
февраль 2024;160;0,001015;
март 2024;142;0,000873;
апрель 2024;156;0,001000;
май 2024;166;0,001084;
июнь 2024;145;0,001147;
июль 2024;146;0,001133;
август 2024;160;0,001261;
сентябрь 2024;222;0,001621;
октябрь 2024;229;0,001447;
ноябрь 2024;292;0,001813;
декабрь 2024;424;0,002486;
январь 2025;324;0,001937;
февраль 2025;386;0,002367;
март 2025;335;0,001959;
апрель 2025;342;0,002091;
май 2025;364;0,002362;
