Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Приморский край, все устройства
февраль 2022;40;0,000043;
март 2022;562;0,000557;
апрель 2022;430;0,000448;
май 2022;384;0,000399;
июнь 2022;369;0,000405;
июль 2022;280;0,000315;
август 2022;300;0,000342;
сентябрь 2022;668;0,000694;
октябрь 2022;638;0,000620;
ноябрь 2022;763;0,000686;
декабрь 2022;737;0,000693;
январь 2023;630;0,000603;
февраль 2023;834;0,000867;
март 2023;1 009;0,000952;
апрель 2023;964;0,000949;
май 2023;699;0,000724;
июнь 2023;937;0,001076;
июль 2023;972;0,001118;
август 2023;1 025;0,001148;
сентябрь 2023;727;0,000808;
октябрь 2023;863;0,000872;
ноябрь 2023;892;0,000901;
декабрь 2023;840;0,000843;
январь 2024;1 344;0,001328;
февраль 2024;1 670;0,001759;
март 2024;1 500;0,001545;
апрель 2024;1 736;0,001875;
май 2024;1 307;0,001452;
июнь 2024;1 361;0,001666;
июль 2024;1 678;0,002085;
август 2024;1 552;0,001946;
сентябрь 2024;1 500;0,001796;
октябрь 2024;2 188;0,002292;
ноябрь 2024;2 191;0,002230;
декабрь 2024;1 914;0,001885;
январь 2025;2 793;0,002809;
февраль 2025;2 807;0,002889;
март 2025;3 280;0,003189;
апрель 2025;3 795;0,003909;
май 2025;3 497;0,003847;
