Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Сахалинская область, все устройства
февраль 2022;13;0,000054;
март 2022;101;0,000382;
апрель 2022;54;0,000211;
май 2022;103;0,000414;
июнь 2022;76;0,000338;
июль 2022;90;0,000421;
август 2022;75;0,000337;
сентябрь 2022;107;0,000443;
октябрь 2022;175;0,000667;
ноябрь 2022;287;0,001012;
декабрь 2022;141;0,000518;
январь 2023;170;0,000638;
февраль 2023;248;0,000999;
март 2023;294;0,001087;
апрель 2023;182;0,000701;
май 2023;197;0,000788;
июнь 2023;249;0,001134;
июль 2023;221;0,001035;
август 2023;204;0,000934;
сентябрь 2023;198;0,000872;
октябрь 2023;264;0,001049;
ноябрь 2023;437;0,001729;
декабрь 2023;264;0,001035;
январь 2024;255;0,000980;
февраль 2024;382;0,001575;
март 2024;374;0,001508;
апрель 2024;311;0,001309;
май 2024;411;0,001763;
июнь 2024;349;0,001727;
июль 2024;377;0,001872;
август 2024;274;0,001350;
сентябрь 2024;396;0,001894;
октябрь 2024;437;0,001815;
ноябрь 2024;567;0,002311;
декабрь 2024;556;0,002169;
январь 2025;739;0,002897;
февраль 2025;652;0,002601;
март 2025;722;0,002713;
апрель 2025;725;0,002898;
май 2025;702;0,003008;
