Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Калужская область, все устройства
февраль 2022;24;0,000030;
март 2022;259;0,000290;
апрель 2022;204;0,000236;
май 2022;206;0,000249;
июнь 2022;137;0,000180;
июль 2022;128;0,000168;
август 2022;134;0,000175;
сентябрь 2022;337;0,000408;
октябрь 2022;336;0,000382;
ноябрь 2022;244;0,000279;
декабрь 2022;238;0,000274;
январь 2023;350;0,000400;
февраль 2023;365;0,000455;
март 2023;360;0,000411;
апрель 2023;255;0,000317;
май 2023;323;0,000404;
июнь 2023;346;0,000464;
июль 2023;379;0,000505;
август 2023;341;0,000459;
сентябрь 2023;303;0,000399;
октябрь 2023;395;0,000470;
ноябрь 2023;394;0,000484;
декабрь 2023;648;0,000800;
январь 2024;678;0,000813;
февраль 2024;792;0,001020;
март 2024;814;0,001020;
апрель 2024;598;0,000792;
май 2024;766;0,001037;
июнь 2024;779;0,001154;
июль 2024;958;0,001405;
август 2024;1 076;0,001590;
сентябрь 2024;921;0,001327;
октябрь 2024;1 349;0,001748;
ноябрь 2024;1 201;0,001450;
декабрь 2024;1 140;0,001327;
январь 2025;1 381;0,001567;
февраль 2025;1 517;0,001843;
март 2025;1 684;0,001973;
апрель 2025;1 866;0,002275;
май 2025;1 657;0,002113;
