Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Кабардино-Балкарская Республика, все устройства
февраль 2022;28;0,000098;
март 2022;254;0,000791;
апрель 2022;115;0,000388;
май 2022;105;0,000350;
июнь 2022;180;0,000677;
июль 2022;109;0,000414;
август 2022;66;0,000253;
сентябрь 2022;133;0,000472;
октябрь 2022;151;0,000479;
ноябрь 2022;141;0,000444;
декабрь 2022;91;0,000285;
январь 2023;206;0,000640;
февраль 2023;173;0,000584;
март 2023;117;0,000358;
апрель 2023;162;0,000523;
май 2023;119;0,000397;
июнь 2023;129;0,000492;
июль 2023;169;0,000650;
август 2023;224;0,000872;
сентябрь 2023;218;0,000795;
октябрь 2023;200;0,000658;
ноябрь 2023;132;0,000427;
декабрь 2023;146;0,000459;
январь 2024;297;0,000929;
февраль 2024;290;0,000967;
март 2024;285;0,000936;
апрель 2024;296;0,001081;
май 2024;207;0,000738;
июнь 2024;257;0,001059;
июль 2024;351;0,001438;
август 2024;315;0,001294;
сентябрь 2024;200;0,000789;
октябрь 2024;287;0,001012;
ноябрь 2024;347;0,001163;
декабрь 2024;471;0,001490;
январь 2025;582;0,001849;
февраль 2025;459;0,001499;
март 2025;712;0,002291;
апрель 2025;637;0,001955;
май 2025;791;0,002674;
