Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Северная Осетия — Алания, все устройства
февраль 2022;10;0,000034;
март 2022;286;0,000913;
апрель 2022;145;0,000503;
май 2022;173;0,000583;
июнь 2022;174;0,000652;
июль 2022;157;0,000598;
август 2022;151;0,000574;
сентябрь 2022;150;0,000540;
октябрь 2022;166;0,000532;
ноябрь 2022;184;0,000573;
декабрь 2022;197;0,000603;
январь 2023;201;0,000618;
февраль 2023;176;0,000586;
март 2023;176;0,000556;
апрель 2023;171;0,000573;
май 2023;206;0,000690;
июнь 2023;213;0,000806;
июль 2023;236;0,000907;
август 2023;241;0,000935;
сентябрь 2023;190;0,000694;
октябрь 2023;219;0,000721;
ноябрь 2023;240;0,000763;
декабрь 2023;277;0,000858;
январь 2024;274;0,000841;
февраль 2024;202;0,000684;
март 2024;253;0,000836;
апрель 2024;262;0,000959;
май 2024;367;0,001314;
июнь 2024;283;0,001150;
июль 2024;323;0,001302;
август 2024;328;0,001330;
сентябрь 2024;306;0,001221;
октябрь 2024;234;0,000838;
ноябрь 2024;392;0,001362;
декабрь 2024;530;0,001719;
январь 2025;724;0,002382;
февраль 2025;477;0,001657;
март 2025;686;0,002352;
апрель 2025;597;0,002008;
май 2025;558;0,002045;
