Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Свердловская область, все устройства
февраль 2022;145;0,000040;
март 2022;1 187;0,000310;
апрель 2022;649;0,000178;
май 2022;627;0,000172;
июнь 2022;823;0,000247;
июль 2022;636;0,000203;
август 2022;600;0,000183;
сентябрь 2022;1 425;0,000397;
октябрь 2022;1 823;0,000472;
ноябрь 2022;1 986;0,000505;
декабрь 2022;1 584;0,000396;
январь 2023;2 052;0,000538;
февраль 2023;1 957;0,000559;
март 2023;2 070;0,000539;
апрель 2023;1 701;0,000470;
май 2023;1 418;0,000408;
июнь 2023;1 491;0,000468;
июль 2023;1 361;0,000444;
август 2023;1 642;0,000527;
сентябрь 2023;1 166;0,000348;
октябрь 2023;1 477;0,000393;
ноябрь 2023;1 956;0,000529;
декабрь 2023;2 129;0,000560;
январь 2024;2 835;0,000767;
февраль 2024;2 483;0,000708;
март 2024;2 715;0,000745;
апрель 2024;3 027;0,000874;
май 2024;3 312;0,000971;
июнь 2024;3 221;0,001090;
июль 2024;3 531;0,001219;
август 2024;3 479;0,001199;
сентябрь 2024;4 367;0,001391;
октябрь 2024;5 827;0,001588;
ноябрь 2024;6 125;0,001656;
декабрь 2024;5 853;0,001528;
январь 2025;7 453;0,002007;
февраль 2025;7 144;0,001971;
март 2025;7 951;0,002085;
апрель 2025;8 188;0,002219;
май 2025;6 880;0,002026;
