Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Ханты-Мансийский автономный округ - Югра, все устройства
февраль 2022;37;0,000031;
март 2022;310;0,000254;
апрель 2022;220;0,000190;
май 2022;173;0,000155;
июнь 2022;154;0,000158;
июль 2022;101;0,000116;
август 2022;115;0,000125;
сентябрь 2022;283;0,000262;
октябрь 2022;315;0,000266;
ноябрь 2022;288;0,000234;
декабрь 2022;200;0,000155;
январь 2023;305;0,000247;
февраль 2023;439;0,000387;
март 2023;425;0,000345;
апрель 2023;570;0,000478;
май 2023;450;0,000409;
июнь 2023;390;0,000415;
июль 2023;337;0,000400;
август 2023;396;0,000464;
сентябрь 2023;496;0,000492;
октябрь 2023;455;0,000395;
ноябрь 2023;555;0,000483;
декабрь 2023;536;0,000433;
январь 2024;653;0,000557;
февраль 2024;817;0,000725;
март 2024;872;0,000754;
апрель 2024;972;0,000862;
май 2024;1 209;0,001135;
июнь 2024;793;0,000959;
июль 2024;938;0,001213;
август 2024;945;0,001220;
сентябрь 2024;1 085;0,001184;
октябрь 2024;1 377;0,001257;
ноябрь 2024;1 863;0,001635;
декабрь 2024;1 811;0,001524;
январь 2025;1 974;0,001735;
февраль 2025;2 046;0,001811;
март 2025;2 007;0,001716;
апрель 2025;2 118;0,001873;
май 2025;1 835;0,001791;
