Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.01.2022 — 31.05.2025, Москва, все устройства
январь 2022;352;0,000020;
февраль 2022;412;0,000023;
март 2022;4 191;0,000231;
апрель 2022;2 181;0,000129;
май 2022;2 086;0,000117;
июнь 2022;1 810;0,000118;
июль 2022;1 664;0,000116;
август 2022;1 671;0,000107;
сентябрь 2022;4 429;0,000257;
октябрь 2022;4 376;0,000262;
ноябрь 2022;3 170;0,000188;
декабрь 2022;2 747;0,000167;
январь 2023;3 046;0,000198;
февраль 2023;3 162;0,000217;
март 2023;3 784;0,000234;
апрель 2023;3 133;0,000217;
май 2023;3 053;0,000215;
июнь 2023;3 041;0,000235;
июль 2023;2 789;0,000228;
август 2023;3 371;0,000276;
сентябрь 2023;3 396;0,000248;
октябрь 2023;3 502;0,000223;
ноябрь 2023;4 225;0,000283;
декабрь 2023;4 190;0,000276;
январь 2024;5 801;0,000365;
февраль 2024;5 719;0,000403;
март 2024;5 974;0,000399;
апрель 2024;5 358;0,000387;
май 2024;5 422;0,000393;
июнь 2024;4 856;0,000413;
июль 2024;5 274;0,000471;
август 2024;5 795;0,000512;
сентябрь 2024;6 192;0,000498;
октябрь 2024;7 279;0,000513;
ноябрь 2024;7 750;0,000513;
декабрь 2024;8 286;0,000542;
январь 2025;9 797;0,000669;
февраль 2025;10 599;0,000744;
март 2025;12 200;0,000794;
апрель 2025;12 432;0,000861;
май 2025;10 767;0,000838;
