section;indicator_code;indicator_name;subsection;object_name;object_level;object_oktmo;object_okato;year;indicator_value;indicator_unit;comment;source
Численность населения;Y4010101000000;Население субъектов Российской Федерации на 1 января;CD;Российская Федерация;страна;00000000;00000000;2000;146890.1;тысяч человек;Расчет за 2012‒2022 гг. произведен с учетом итогов Всероссийской переписи наеления 2020 г;Демографический ежегодник России 2023
Численность населения;Y4010101000000;Население субъектов Российской Федерации на 1 января;CD;Российская Федерация;страна;00000000;00000000;2005;143801.0;тысяч человек;Расчет за 2012‒2022 гг. произведен с учетом итогов Всероссийской переписи наеления 2020 г;Демографический ежегодник России 2023
Численность населения;Y4010101000000;Население субъектов Российской Федерации на 1 января;CD;Российская Федерация;страна;00000000;00000000;2010;142833.5;тысяч человек;Расчет за 2012‒2022 гг. произведен с учетом итогов Всероссийской переписи наеления 2020 г;Демографический ежегодник России 2023
Численность населения;Y4010101000000;Население субъектов Российской Федерации на 1 января;CD;Российская Федерация;страна;00000000;00000000;2011;142865.4;тысяч человек;Расчет за 2012‒2022 гг. произведен с учетом итогов Всероссийской переписи наеления 2020 г;Демографический ежегодник России 2023
Численность населения;Y4010101000000;Население субъектов Российской Федерации на 1 января;CD;Российская Федерация;страна;00000000;00000000;2012;143171.0;тысяч человек;Расчет за 2012‒2022 гг. произведен с учетом итогов Всероссийской переписи наеления 2020 г;Демографический ежегодник России 2023
Численность населения;Y4010101000000;Население субъектов Российской Федерации на 1 января;CD;Российская Федерация;страна;00000000;00000000;2013;143585.9;тысяч человек;Расчет за 2012‒2022 гг. произведен с учетом итогов Всероссийской переписи наеления 2020 г;Демографический ежегодник России 2023
Численность населения;Y4010101000000;Население субъектов Российской Федерации на 1 января;CD;Российская Федерация;страна;00000000;00000000;2014;144025.3;тысяч человек;Расчет за 2012‒2022 гг. произведен с учетом итогов Всероссийской переписи наеления 2020 г;Демографический ежегодник России 2023
Численность населения;Y4010101000000;Население субъектов Российской Федерации на 1 января;CD;Российская Федерация;страна;00000000;00000000;2015;146744.0;тысяч человек;Расчет за 2012‒2022 гг. произведен с учетом итогов Всероссийской переписи наеления 2020 г;Демографический ежегодник России 2023
Численность населения;Y4010101000000;Население субъектов Российской Федерации на 1 января;CD;Российская Федерация;страна;00000000;00000000;2016;147182.3;тысяч человек;Расчет за 2012‒2022 гг. произведен с учетом итогов Всероссийской переписи наеления 2020 г;Демографический ежегодник России 2023
Численность населения;Y4010101000000;Население субъектов Российской Федерации на 1 января;CD;Российская Федерация;страна;00000000;00000000;2017;147580.0;тысяч человек;Расчет за 2012‒2022 гг. произведен с учетом итогов Всероссийской переписи наеления 2020 г;Демографический ежегодник России 2023
Численность населения;Y4010101000000;Население субъектов Российской Федерации на 1 января;CD;Российская Федерация;страна;00000000;00000000;2018;147797.1;тысяч человек;Расчет за 2012‒2022 гг. произведен с учетом итогов Всероссийской переписи наеления 2020 г;Демографический ежегодник России 2023
Численность населения;Y4010101000000;Население субъектов Российской Федерации на 1 января;CD;Российская Федерация;страна;00000000;00000000;2019;147840.7;тысяч человек;Расчет за 2012‒2022 гг. произведен с учетом итогов Всероссийской переписи наеления 2020 г;Демографический ежегодник России 2023
Численность населения;Y4010101000000;Население субъектов Российской Федерации на 1 января;CD;Российская Федерация;страна;00000000;00000000;2020;147959.3;тысяч человек;Расчет за 2012‒2022 гг. произведен с учетом итогов Всероссийской переписи наеления 2020 г;Демографический ежегодник России 2023
Численность населения;Y4010101000000;Население субъектов Российской Федерации на 1 января;CD;Российская Федерация;страна;00000000;00000000;2021;147455.7;тысяч человек;Расчет за 2012‒2022 гг. произведен с учетом итогов Всероссийской переписи наеления 2020 г;Демографический ежегодник России 2023
Численность населения;Y4010101000000;Население субъектов Российской Федерации на 1 января;CD;Российская Федерация;страна;00000000;00000000;2022;146980.1;тысяч человек;Расчет за 2012‒2022 гг. произведен с учетом итогов Всероссийской переписи наеления 2020 г;Демографический ежегодник России 2023
Численность населения;Y4010101000000;Население субъектов Российской Федерации на 1 января;CD;Российская Федерация;страна;00000000;00000000;2023;146447.4;тысяч человек;Расчет за 2012‒2022 гг. произведен с учетом итогов Всероссийской переписи наеления 2020 г;Демографический ежегодник России 2023
