year;object_level;object_name;okato;oktmo;subsidies_for_equalizing;subventions;other_transfers;indicator_unit
2024;страна;Российская Федерация;00000000;00000000;;1701857237.8;1196337689.0;тысяча рублей
2024;федеральный округ;Дальневосточный федеральный округ;00000000;00000000;;207484172.6;215077996.7;тысяча рублей
2024;регион;Амурская область;10000000;10000000;;16423896.6;1619943.4;тысяча рублей
2024;регион;Еврейская автономная область;99000000;99000000;;5822126.0;3946294.6;тысяча рублей
2024;регион;Забайкальский край;76000000;76000000;;32523973.8;19714297.1;тысяча рублей
2024;регион;Камчатский край;30000000;30000000;;16111925.4;51388333.2;тысяча рублей
2024;регион;Магаданская область;44000000;44000000;;7879553.7;5092353.6;тысяча рублей
2024;регион;Приморский край;05000000;05000000;;26609423.7;7382768.8;тысяча рублей
2024;регион;Республика Бурятия;81000000;81000000;;37479181.1;32895993.3;тысяча рублей
2024;регион;Республика Саха (Якутия);98000000;98000000;;29803280.5;67479342.9;тысяча рублей
2024;регион;Сахалинская область;64000000;64000000;;5921371.1;695410.7;тысяча рублей
2024;регион;Хабаровский край;08000000;08000000;;23896704.6;9232480.9;тысяча рублей
2024;регион;Чукотский автономный округ;77000000;77000000;;5012736.1;15630778.2;тысяча рублей
2024;федеральный округ;Приволжский федеральный округ;00000000;00000000;;302857653.4;153977868.6;тысяча рублей
2024;регион;Кировская область;33000000;33000000;;20041212.5;17507936.1;тысяча рублей
2024;регион;Нижегородская область;22000000;22000000;;33674728.4;924635.8;тысяча рублей
2024;регион;Оренбургская область;53000000;53000000;;20666174.6;11932038.6;тысяча рублей
2024;регион;Пензенская область;56000000;56000000;;11754929.6;13574962.9;тысяча рублей
2024;регион;Пермский край;57000000;57000000;;20871883.7;2736258.4;тысяча рублей
2024;регион;Республика Башкортостан;80000000;80000000;;33911298.4;30101229.4;тысяча рублей
2024;регион;Республика Марий Эл;88000000;88000000;;14042274.2;12507036.5;тысяча рублей
2024;регион;Республика Мордовия;89000000;89000000;;15472944.0;6017895.8;тысяча рублей
2024;регион;Республика Татарстан;92000000;92000000;;39610950.3;854994.3;тысяча рублей
2024;регион;Самарская область;36000000;36000000;;26928012.5;708867.9;тысяча рублей
2024;регион;Саратовская область;63000000;63000000;;23607220.7;18144091.3;тысяча рублей
2024;регион;Удмуртская Республика;94000000;94000000;;12602829.5;12220401.0;тысяча рублей
2024;регион;Ульяновская область;73000000;73000000;;14363528.6;6405360.4;тысяча рублей
2024;регион;Чувашская Республика;97000000;97000000;;15309666.4;20342160.2;тысяча рублей
2024;федеральный округ;Северо-Западный федеральный округ;00000000;00000000;;154508452.1;41239450.1;тысяча рублей
2024;регион;Архангельская область;11000000;11000000;;19460855.4;11852496.1;тысяча рублей
2024;регион;Вологодская область;19000000;19000000;;18099102.0;352807.2;тысяча рублей
2024;регион;Санкт-Петербург;40000000;40000000;;21164262.7;904008.0;тысяча рублей
2024;регион;Калининградская область;27000000;27000000;;18577893.1;4262332.9;тысяча рублей
2024;регион;Ленинградская область;41000000;41000000;;12873135.4;483801.1;тысяча рублей
2024;регион;Мурманская область;47000000;47000000;;10217385.0;2037429.9;тысяча рублей
2024;регион;Ненецкий автономный округ;11100000;11800000;;1336749.0;695950.3;тысяча рублей
2024;регион;Новгородская область;49000000;49000000;;13619708.1;1339346.8;тысяча рублей
2024;регион;Псковская область;58000000;58000000;;15834840.5;8378975.1;тысяча рублей
2024;регион;Республика Карелия;86000000;86000000;;13937435.3;8899973.1;тысяча рублей
2024;регион;Республика Коми;87000000;87000000;;9387085.6;2032329.6;тысяча рублей
2024;федеральный округ;Северо-Кавказский федеральный округ;00000000;00000000;;125390138.6;261073784.5;тысяча рублей
2024;регион;Кабардино-Балкарская Республика;83000000;83000000;;17770141.3;21887420.0;тысяча рублей
2024;регион;Карачаево-Черкесская Республика;91000000;91000000;;8242952.8;15195106.7;тысяча рублей
2024;регион;Республика Дагестан;82000000;82000000;;23942828.5;101138005.6;тысяча рублей
2024;регион;Республика Ингушетия;26000000;26000000;;8933729.6;17667980.1;тысяча рублей
2024;регион;Республика Северная Осетия — Алания;90000000;90000000;;12711602.0;15735074.8;тысяча рублей
2024;регион;Ставропольский край;07000000;07000000;;24765136.5;35955196.4;тысяча рублей
2024;регион;Чеченская Республика;96000000;96000000;;29023747.9;53495000.9;тысяча рублей
2024;федеральный округ;Сибирский федеральный округ;00000000;00000000;;229642225.1;121866886.0;тысяча рублей
2024;регион;Алтайский край;01000000;01000000;;20863013.8;36080241.3;тысяча рублей
2024;регион;Иркутская область;25000000;25000000;;35344966.2;757204.0;тысяча рублей
2024;регион;Кемеровская область;32000000;32000000;;38214253.1;2987935.8;тысяча рублей
2024;регион;Красноярский край;04000000;04000000;;29325917.1;2549074.3;тысяча рублей
2024;регион;Новосибирская область;50000000;50000000;;24926201.8;2645907.9;тысяча рублей
2024;регион;Омская область;52000000;52000000;;24159933.6;17663628.2;тысяча рублей
2024;регион;Республика Алтай;84000000;84000000;;10528012.9;14372267.6;тысяча рублей
2024;регион;Республика Тыва;93000000;93000000;;17363732.5;26383977.5;тысяча рублей
2024;регион;Республика Хакасия;95000000;95000000;;15473984.8;4645728.5;тысяча рублей
2024;регион;Томская область;69000000;69000000;;13442209.3;13780920.9;тысяча рублей
2024;федеральный округ;Уральский федеральный округ;00000000;00000000;;90207786.3;25880758.7;тысяча рублей
2024;регион;Курганская область;37000000;37000000;;14508217.8;21521243.5;тысяча рублей
2024;регион;Свердловская область;65000000;65000000;;29421676.6;1351748.1;тысяча рублей
2024;регион;Тюменская область;71000000;71000000;;6627629.9;414362.0;тысяча рублей
2024;регион;Ханты-Мансийский автономный округ — Югра;71100000;71800000;;13927405.3;374742.0;тысяча рублей
2024;регион;Челябинская область;75000000;75000000;;23809977.8;2021326.4;тысяча рублей
2024;регион;Ямало-Ненецкий автономный округ;71140000;71900000;;1912878.9;197336.7;тысяча рублей
