region,value
"Брянская область",295
"Волгоградская область",443
"Оренбургская область",555
"Московская область",763
"###",35
"Ставропольский край",287
"Алтайский край",582
"Амурская область",91
"Архангельская область",356
"Астраханская область",259
"Белгородская область",276
"Республика Башкортостан",2191
"Владимирская область",215
"Республика Татарстан",1392
"Вологодская область",314
"Воронежская область",268
"Краснодарский край",652
"Забайкальский край",350
"Иркутская область",776
"Ивановская область",195
"Кабардино-Балкарская Республика",66
"Калининградская область",161
"Калужская область",176
"Камчатский край",101
"Кемеровская область",342
"Кировская область",478
"Костромская область",88
"Красноярский край",440
"Курганская область",187
"Курская область",187
"Иностранцы",117
"Ленинградская область",286
"Липецкая область",176
"Магаданская область",22
"Тамбовская область",220
"Москва",324
"Нижегородская область",435
"Мурманская область",105
"Ненецкий автономный округ",16
"Новгородская область",175
"Новосибирская область",506
"Омская область",356
"Орловская область",125
"Пензенская область",207
"Пермский край",968
"Челябинская область",633
"Приморский край",336
"Псковская область",115
"Республика Адыгея",67
"Республика Алтай",232
"Республика Бурятия",873
"Республика Дагестан",245
"Республика Калмыкия",79
"Республика Карачаево-Черкесия",47
"Республика Карелия",166
"Республика Коми",222
"Республика Крым",250
"Республика Марий Эл",217
"Республика Мордовия",106
"Республика Саха (Якутия)",329
"Республика Северная Осетия-Алания",155
"Республика Ингушетия",17
"Удмуртская Республика",433
"Чувашская Республика",277
"Республика Тыва",169
"Республика Хакасия",246
"Ростовская область",469
"Рязанская область",118
"Самарская область",426
"Санкт-Петербург",249
"Саратовская область",693
"Сахалинская область",154
"Свердловская область",967
"Севастополь",78
"Смоленская область",82
"Тверская область",211
"Томская область",211
"Тульская область",108
"Тюменская область",332
"Ульяновская область",193
"Хабаровский край",136
"Ханты-Мансийский автономный округ - Югра",307
"Чеченская Республика",115
"Чукотский автономный округ",63
"Ямало-Ненецкий автономный округ",161
"Ярославская область",145
"ДНР",54
"Еврейская автономная область",15
"ЛНР",21
