,Region,Excess 2022,Excess 2023,Male pop2022,Male pop2023,Excess per100k (2022),Excess per100k (2023),Total,Drafted,Volunteers,Prisoners,PMC,Excess total,Excessive Marriages,Excessive Marriages per100k,pmgrowth
0,Алтайский край,128.24641793473376,244.47244339315552,584819.0,576369.0,21.929249551525132,42.41595980928113,350.7067998816728,40.18337297522824,99.51797051737374,49.24600602921588,8.891639977497311,64.34520936080625,2007.6000000000001,343.2857003619923,24.513938600617678
1,Амурская область,504.41631501387434,148.04779372519272,228799.0,226425.0,220.46263970291582,65.3849149719301,221.5918775868776,20.542047823635592,39.772901105337,37.15051202146862,1.7482593892455822,285.8475546748459,1890.4,826.2273873574622,32.1312012992083
2,Архангельская область без АО,-96.31593198424832,292.76221544519166,276243.0,272674.0,-34.866379232866834,107.36711804029414,447.7941522500118,63.35002153900732,128.87204381649488,92.31003138541067,13.032004430881507,72.50073880742731,684.1999999999999,247.68048421136461,16.962483661941906
3,Астраханская область,297.1147384669065,150.37779868968008,273148.0,270504.0,108.77426833325028,55.59170980454265,381.8442748985898,34.77967988050434,94.82039041105921,84.93563928712639,5.491528402184896,164.36597813779292,172.79999999999995,63.26240719316999,26.216914198342334
4,Белгородская область,355.7003551680109,184.56834642993695,442249.0,433216.0,80.4298834294732,42.604231244907155,264.33072771221646,38.66600037535416,62.408281307589164,25.777333583569437,13.793134636822243,123.03411467438035,1182.4,267.3606949930921,17.172315376382443
5,Брянская область,-5.375538670721767,169.7365916183366,332944.0,328293.0,-1.614547392571053,51.70277514852178,349.3079917343457,46.85472632034216,88.60348887500601,60.67086356864818,5.706665385169878,50.088227755950726,542.8,163.03041953001105,22.611742295394244
6,Владимирская область,161.48280242501443,197.78007689127406,381110.0,374987.0,42.371704343894,52.74318226799171,218.04728293668495,25.451969247723753,56.414158641861924,37.78436671827032,6.297394453045053,95.11488661188571,856.0,224.60706882527353,20.380627691365948
7,Волгоградская область,568.4868372613469,203.7195401757661,736935.0,728325.0,77.1420596472344,27.970966282328096,296.3626371389607,48.172498252898826,60.11384993249065,57.671300725301414,7.870436334276429,105.1130259295625,1651.0,224.03604117052387,24.888937499396846
8,Вологодская область,-198.65041341489973,144.9317706733584,319318.0,315399.0,-62.21084104713788,45.95188021311367,351.6870329890579,40.71176695331926,98.33457556417113,58.875478363261706,8.142353390663853,-16.258960834024215,774.6,242.5794975541623,17.976238219370355
9,Воронежская область,561.1696711542397,227.03275194885398,662380.0,652320.0,84.72020156922608,34.80389256022412,195.80905220568252,23.70240647362541,40.460158821220446,22.64561128053383,4.680092997976992,119.52409412945019,1370.8,206.95069295570516,21.620720551770134
10,Еврейская АО,21.612137748340487,67.70017762534755,44197.0,43537.0,48.89955822417921,155.50032759571755,260.1986560173767,4.525194017693509,33.93895513270131,45.251940176935086,2.2625970088467544,204.39988581989675,283.4,641.2199923071701,18.667570244487308
11,Забайкальский край,130.9754924841152,165.86027818692145,298099.0,295485.0,43.93691105441991,56.13153905847046,596.4461470853643,52.33160795574624,117.4106588750717,139.2154955232993,11.070147836792476,100.06845011289036,1819.4,610.3341507351586,29.440484710634408
12,Ивановская область,236.59599887006527,133.6319544130773,260788.0,257494.0,90.72349911424807,51.89711387957672,352.0100618126601,34.12733714741476,74.77337914321211,44.48057425955182,6.518704848382595,142.6206129938248,683.2,261.9752442597052,20.48589445735147
13,Иркутская область,317.23722600855456,271.50182983703365,663571.0,655891.0,47.80757839154432,41.39435208548885,385.1886233726308,45.662031643938626,116.94302493629168,68.86979690191404,8.137787817731637,89.20193047703316,1878.0,283.01417632777805,24.086466545949413
14,Кабардино-Балкария,207.71871169819153,115.84677967921938,269421.0,267734.0,77.09818896752351,43.269356779198525,101.69957056057248,8.165658950118958,24.496976850356877,6.309827370546468,2.969330527315985,120.36754574672204,-90.20000000000005,-33.479201695487745,23.852221236604244
15,Калининградская область,-70.72932980695583,165.4238849744717,309364.0,308110.0,-22.862818494380676,53.689878606494986,310.31406369196156,25.53626149131767,52.04225443167272,39.11250177784099,9.374070674028006,30.82706011211431,1602.4,517.9658913124993,25.02496414241362
16,Калужская область,224.44966281285556,198.37600305959316,324498.0,320917.0,69.16827309039057,61.81536131136498,203.08291576527438,30.200494301967964,54.23762241986083,31.124999229579227,5.547029565667585,130.98363440175555,477.80000000000007,147.24281813755402,17.68753495060316
17,Камчатский край,-63.123172385720466,111.01325499911404,94302.0,91495.0,-66.93725730707776,121.3325919439467,452.8005768700558,45.59818455600093,107.10271256176964,64.68579669572226,5.302114483255923,54.39533463686894,465.20000000000005,493.3087315221311,15.529303467321265
18,Карачаево-Черкесия,-27.702999780703706,100.65344114039456,136311.0,136443.0,-20.32337799642267,73.76958960180775,151.85861742632656,10.270631130282956,34.4799759373785,16.873179714036283,2.2008495279177764,53.44621160538508,219.4,160.95546214172006,25.078270098169277
19,Кемеровская область,330.4213607950765,267.17845702635424,728361.0,721103.0,45.36505397667867,37.05135840876466,279.8063048405942,24.301136387038845,46.95473810376997,68.23539426191134,6.864727792948826,82.41641238544332,3031.2,416.1672577197296,24.26939810947708
20,Кировская область,69.46821628979046,175.59515618256265,311517.0,307151.0,22.299976017292945,57.16900032315136,574.9284950741052,39.16319173592452,153.44266926042562,71.26416856864954,11.235341891453757,79.4689763404443,720.2,231.19123514928563,23.456636211983593
21,Костромская область,266.81914604687034,123.74006120365077,154547.0,152056.0,172.64595627664747,81.37795365105669,354.5846894472232,21.999780002199977,56.940607064517586,43.35250765139407,4.529366471041172,254.02390992770415,556.8,360.2787501536749,21.871663052213265
22,Краснодарский край,191.8985928893303,456.01176227492414,1683327.0,1673002.0,11.399959300203127,27.257096062941,195.26806140458748,16.574319784569486,38.732818994764536,33.08923340503657,12.356482133299114,38.657055363144124,3676.0,218.3770592404209,34.997547081238125
23,Красноярский край,526.0411185097826,555.34993688656,830975.0,823610.0,63.30408478110443,67.4287510941538,271.72899305033246,31.769908842022925,52.94984807003821,58.96687625981528,6.498390444959235,130.73283587525822,2503.2,301.23649929299916,21.90208959165483
24,Курганская область,295.9865707941704,142.95435678760893,201085.0,196510.0,147.19475385740876,72.74660668037704,438.6204838749783,24.865106795633686,92.99549941566998,69.12499689186164,13.924459805554864,219.94136053778578,606.8,301.76293607181043,23.783184414445778
25,Курская область,515.1372849423127,200.9792410248766,299203.0,293734.0,172.1698261522487,68.42219185551437,254.34236956180254,45.45408969829848,62.499373335160406,37.432779751539925,8.355531194540163,240.59201800776307,549.0000000000001,183.487465032102,21.86464155026153
26,Ленинградская область,6.897701181062075,196.69578612754214,627419.0,628372.0,1.0993771596113722,31.302442840792104,159.70188980569603,17.691526715002254,45.583573337753556,19.444741074146624,6.215941818784576,32.401820000403475,1522.6,242.6767439302922,20.52941814631324
27,Липецкая область,287.7403014286044,228.9705893208311,322269.0,317426.0,89.285752408269,72.13353327100839,231.17333656045105,40.02867169972911,54.6127613887777,34.13297586798606,4.344196928652772,161.41928567927738,604.4000000000001,187.54518740555255,18.14154345792469
28,Магаданская область,29.80254695106973,76.4619747385019,44183.0,43255.0,67.4525200893324,176.77025716911777,382.5000565828486,92.79587171536564,49.79290677409863,92.79587171536564,13.579883665663264,244.22277725845015,172.8,391.10064957110205,2.8578830615780593
29,Москва,721.5833447349373,633.9078842973773,3775904.0,3764665.0,19.110214262198863,16.838361030725903,35.09093451528429,5.058391315033433,8.580726628643102,3.548819037772147,1.4301211047738502,35.948575292924765,9116.600000000002,241.44151969965347,27.962074055203413
30,Московская область,652.352545733529,524.4457988032345,2573001.0,2574610.0,25.353761842048606,20.369912289753962,122.1142160457769,12.475704440068233,29.65408874695346,20.20986389045321,3.536726180829312,45.72367413180257,7022.4,272.9264388159973,19.748293538775673
31,Мурманская область,-93.78373442374439,249.8593052957776,208954.0,206179.0,-44.88247864302401,121.18562283053929,242.63713544607901,15.792949644419346,50.25029432315246,56.950333566239465,6.700039243086994,76.30314418751527,429.20000000000005,205.40406022378136,18.361265223598842
32,Ненецкий АО,1.3041391941393314,59.19249788308791,12616.0,12531.0,10.337184481129768,472.3685091619816,554.850982878884,39.63221306277743,126.82308180088776,118.89663918833227,15.85288522511097,482.7056936431114,22.4,177.55231452124283,32.810168022723985
33,Нижегородская область,775.6020815849464,298.16193775625925,873455.0,861454.0,88.79702807642597,34.61147522169022,207.68099100697802,17.51664367368668,49.802222209501345,39.61280203330452,4.007075350189764,123.40850329811619,1329.6000000000001,152.22306816035172,17.320204286700914
34,Новгородская область,125.52217920890277,103.84972037073611,160556.0,158812.0,78.17968759118487,65.39160792051993,364.3588529858741,50.44968733650564,108.99623807269737,54.18670121328384,8.719699045815789,143.57129551170482,603.8,376.0681631331124,20.65274151436032
