Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.01.2022 — 31.05.2025, Москва и область, кроме Москва, все устройства
январь 2022;191;0,000021;
февраль 2022;208;0,000023;
март 2022;2 877;0,000294;
апрель 2022;1 309;0,000143;
май 2022;1 417;0,000156;
июнь 2022;1 088;0,000132;
июль 2022;1 264;0,000154;
август 2022;1 038;0,000125;
сентябрь 2022;2 975;0,000326;
октябрь 2022;3 093;0,000329;
ноябрь 2022;2 231;0,000238;
декабрь 2022;1 862;0,000200;
январь 2023;2 422;0,000262;
февраль 2023;2 604;0,000311;
март 2023;3 003;0,000324;
апрель 2023;2 572;0,000309;
май 2023;2 355;0,000280;
июнь 2023;2 300;0,000297;
июль 2023;2 207;0,000283;
август 2023;2 539;0,000331;
сентябрь 2023;2 349;0,000296;
октябрь 2023;3 126;0,000364;
ноябрь 2023;3 416;0,000409;
декабрь 2023;3 525;0,000416;
январь 2024;4 202;0,000478;
февраль 2024;4 568;0,000563;
март 2024;4 903;0,000568;
апрель 2024;4 270;0,000538;
май 2024;4 292;0,000542;
июнь 2024;4 343;0,000602;
июль 2024;5 022;0,000696;
август 2024;5 044;0,000697;
сентябрь 2024;5 441;0,000723;
октябрь 2024;6 452;0,000790;
ноябрь 2024;7 398;0,000885;
декабрь 2024;7 467;0,000858;
январь 2025;9 260;0,001050;
февраль 2025;9 611;0,001174;
март 2025;10 529;0,001189;
апрель 2025;10 975;0,001341;
май 2025;9 761;0,001200;
