Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Орловская область, все устройства
февраль 2022;24;0,000042;
март 2022;225;0,000374;
апрель 2022;134;0,000231;
май 2022;131;0,000238;
июнь 2022;123;0,000250;
июль 2022;88;0,000182;
август 2022;98;0,000202;
сентябрь 2022;271;0,000502;
октябрь 2022;309;0,000532;
ноябрь 2022;201;0,000342;
декабрь 2022;252;0,000429;
январь 2023;397;0,000681;
февраль 2023;383;0,000713;
март 2023;476;0,000808;
апрель 2023;332;0,000617;
май 2023;298;0,000562;
июнь 2023;292;0,000598;
июль 2023;290;0,000606;
август 2023;289;0,000620;
сентябрь 2023;243;0,000500;
октябрь 2023;435;0,000779;
ноябрь 2023;403;0,000727;
декабрь 2023;442;0,000805;
январь 2024;498;0,000882;
февраль 2024;488;0,000932;
март 2024;465;0,000870;
апрель 2024;448;0,000894;
май 2024;479;0,000973;
июнь 2024;469;0,001089;
июль 2024;469;0,001097;
август 2024;634;0,001489;
сентябрь 2024;630;0,001396;
октябрь 2024;906;0,001763;
ноябрь 2024;989;0,001838;
декабрь 2024;957;0,001729;
январь 2025;1 043;0,001891;
февраль 2025;1 516;0,002915;
март 2025;1 345;0,002478;
апрель 2025;1 403;0,002737;
май 2025;1 399;0,002883;
