Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Смоленская область, все устройства
февраль 2022;44;0,000070;
март 2022;341;0,000503;
апрель 2022;180;0,000273;
май 2022;268;0,000426;
июнь 2022;222;0,000389;
июль 2022;219;0,000388;
август 2022;179;0,000321;
сентябрь 2022;374;0,000608;
октябрь 2022;284;0,000430;
ноябрь 2022;251;0,000381;
декабрь 2022;227;0,000345;
январь 2023;499;0,000749;
февраль 2023;367;0,000600;
март 2023;441;0,000660;
апрель 2023;486;0,000796;
май 2023;264;0,000436;
июнь 2023;313;0,000562;
июль 2023;212;0,000384;
август 2023;241;0,000444;
сентябрь 2023;292;0,000524;
октябрь 2023;301;0,000477;
ноябрь 2023;371;0,000599;
декабрь 2023;393;0,000639;
январь 2024;489;0,000770;
февраль 2024;461;0,000777;
март 2024;633;0,001057;
апрель 2024;531;0,000924;
май 2024;513;0,000934;
июнь 2024;515;0,001047;
июль 2024;565;0,001145;
август 2024;707;0,001458;
сентябрь 2024;630;0,001232;
октябрь 2024;595;0,001021;
ноябрь 2024;833;0,001396;
декабрь 2024;871;0,001415;
январь 2025;1 183;0,001915;
февраль 2025;1 107;0,001882;
март 2025;1 181;0,001938;
апрель 2025;1 576;0,002679;
май 2025;1 270;0,002257;
