Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Тверская область, все устройства
февраль 2022;43;0,000049;
март 2022;356;0,000370;
апрель 2022;212;0,000229;
май 2022;154;0,000171;
июнь 2022;156;0,000192;
июль 2022;116;0,000140;
август 2022;130;0,000157;
сентябрь 2022;395;0,000445;
октябрь 2022;422;0,000445;
ноябрь 2022;365;0,000385;
декабрь 2022;348;0,000370;
январь 2023;452;0,000473;
февраль 2023;562;0,000641;
март 2023;556;0,000580;
апрель 2023;582;0,000659;
май 2023;547;0,000625;
июнь 2023;528;0,000652;
июль 2023;456;0,000550;
август 2023;485;0,000592;
сентябрь 2023;351;0,000424;
октябрь 2023;437;0,000475;
ноябрь 2023;535;0,000595;
декабрь 2023;562;0,000627;
январь 2024;645;0,000694;
февраль 2024;698;0,000807;
март 2024;797;0,000905;
апрель 2024;805;0,000960;
май 2024;754;0,000931;
июнь 2024;735;0,001004;
июль 2024;972;0,001281;
август 2024;804;0,001071;
сентябрь 2024;792;0,001031;
октябрь 2024;794;0,000926;
ноябрь 2024;1 137;0,001306;
декабрь 2024;900;0,001006;
январь 2025;1 426;0,001567;
февраль 2025;1 500;0,001750;
март 2025;1 789;0,002006;
апрель 2025;1 996;0,002324;
май 2025;1 847;0,002243;
