Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Тульская область, все устройства
февраль 2022;76;0,000072;
март 2022;382;0,000321;
апрель 2022;322;0,000282;
май 2022;405;0,000369;
июнь 2022;312;0,000315;
июль 2022;361;0,000362;
август 2022;274;0,000272;
сентябрь 2022;502;0,000459;
октябрь 2022;521;0,000446;
ноябрь 2022;538;0,000458;
декабрь 2022;370;0,000321;
январь 2023;451;0,000390;
февраль 2023;436;0,000408;
март 2023;480;0,000412;
апрель 2023;377;0,000352;
май 2023;533;0,000504;
июнь 2023;497;0,000507;
июль 2023;664;0,000670;
август 2023;693;0,000710;
сентябрь 2023;546;0,000545;
октябрь 2023;599;0,000535;
ноябрь 2023;563;0,000515;
декабрь 2023;584;0,000540;
январь 2024;819;0,000733;
февраль 2024;967;0,000923;
март 2024;905;0,000838;
апрель 2024;791;0,000781;
май 2024;777;0,000782;
июнь 2024;741;0,000831;
июль 2024;1 084;0,001206;
август 2024;1 249;0,001382;
сентябрь 2024;1 122;0,001198;
октябрь 2024;1 553;0,001475;
ноябрь 2024;1 871;0,001748;
декабрь 2024;1 485;0,001349;
январь 2025;1 741;0,001569;
февраль 2025;1 813;0,001723;
март 2025;2 005;0,001833;
апрель 2025;1 941;0,001868;
май 2025;1 747;0,001787;
