Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Санкт-Петербург и Ленинградская область, кроме Санкт-Петербург, все устройства
февраль 2022;71;0,000048;
март 2022;468;0,000300;
апрель 2022;334;0,000225;
май 2022;312;0,000204;
июнь 2022;256;0,000176;
июль 2022;243;0,000158;
август 2022;282;0,000187;
сентябрь 2022;581;0,000380;
октябрь 2022;650;0,000405;
ноябрь 2022;485;0,000304;
декабрь 2022;445;0,000288;
январь 2023;519;0,000329;
февраль 2023;567;0,000392;
март 2023;549;0,000347;
апрель 2023;558;0,000379;
май 2023;569;0,000382;
июнь 2023;649;0,000450;
июль 2023;849;0,000560;
август 2023;736;0,000490;
сентябрь 2023;617;0,000424;
октябрь 2023;628;0,000407;
ноябрь 2023;757;0,000510;
декабрь 2023;738;0,000493;
январь 2024;883;0,000568;
февраль 2024;1 025;0,000706;
март 2024;1 086;0,000731;
апрель 2024;942;0,000655;
май 2024;949;0,000662;
июнь 2024;929;0,000671;
июль 2024;979;0,000675;
август 2024;908;0,000636;
сентябрь 2024;1 136;0,000828;
октябрь 2024;1 260;0,000848;
ноябрь 2024;1 479;0,000970;
декабрь 2024;1 343;0,000850;
январь 2025;1 778;0,001094;
февраль 2025;1 792;0,001179;
март 2025;1 913;0,001200;
апрель 2025;2 096;0,001350;
май 2025;2 114;0,001326;
