Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Санкт-Петербург, все устройства
февраль 2022;178;0,000026;
март 2022;1 815;0,000250;
апрель 2022;950;0,000141;
май 2022;741;0,000105;
июнь 2022;685;0,000108;
июль 2022;589;0,000102;
август 2022;635;0,000107;
сентябрь 2022;1 788;0,000294;
октябрь 2022;1 990;0,000307;
ноябрь 2022;1 189;0,000173;
декабрь 2022;1 140;0,000178;
январь 2023;1 148;0,000189;
февраль 2023;1 457;0,000255;
март 2023;1 474;0,000230;
апрель 2023;1 429;0,000239;
май 2023;1 357;0,000232;
июнь 2023;1 456;0,000278;
июль 2023;1 555;0,000311;
август 2023;1 510;0,000303;
сентябрь 2023;1 488;0,000270;
октябрь 2023;1 662;0,000275;
ноябрь 2023;2 240;0,000373;
декабрь 2023;2 269;0,000377;
январь 2024;2 392;0,000399;
февраль 2024;2 685;0,000469;
март 2024;2 804;0,000472;
апрель 2024;2 656;0,000463;
май 2024;2 611;0,000479;
июнь 2024;2 160;0,000450;
июль 2024;2 157;0,000455;
август 2024;2 327;0,000499;
сентябрь 2024;2 589;0,000509;
октябрь 2024;3 091;0,000532;
ноябрь 2024;3 390;0,000559;
декабрь 2024;3 418;0,000551;
январь 2025;4 014;0,000673;
февраль 2025;4 269;0,000732;
март 2025;5 095;0,000829;
апрель 2025;5 868;0,000990;
май 2025;5 160;0,000939;
