Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.01.2022 — 31.05.2025, Белгородская область, все устройства
январь 2022;69;0,000061;
февраль 2022;32;0,000029;
март 2022;533;0,000443;
апрель 2022;373;0,000333;
май 2022;445;0,000397;
июнь 2022;362;0,000366;
июль 2022;294;0,000304;
август 2022;262;0,000271;
сентябрь 2022;524;0,000485;
октябрь 2022;663;0,000559;
ноябрь 2022;800;0,000610;
декабрь 2022;655;0,000496;
январь 2023;594;0,000472;
февраль 2023;540;0,000457;
март 2023;695;0,000542;
апрель 2023;568;0,000469;
май 2023;586;0,000500;
июнь 2023;627;0,000651;
июль 2023;679;0,000716;
август 2023;706;0,000754;
сентябрь 2023;645;0,000636;
октябрь 2023;738;0,000640;
ноябрь 2023;1 118;0,000982;
декабрь 2023;886;0,000762;
январь 2024;1 351;0,001166;
февраль 2024;1 339;0,001172;
март 2024;1 228;0,001145;
апрель 2024;1 159;0,001117;
май 2024;1 556;0,001528;
июнь 2024;1 246;0,001455;
июль 2024;1 232;0,001484;
август 2024;1 441;0,001736;
сентябрь 2024;1 390;0,001498;
октябрь 2024;1 610;0,001533;
ноябрь 2024;2 013;0,001829;
декабрь 2024;1 937;0,001675;
январь 2025;2 224;0,001981;
февраль 2025;2 158;0,002013;
март 2025;2 232;0,001996;
апрель 2025;2 580;0,002492;
май 2025;2 628;0,002577;
