Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Вологодская область, все устройства
февраль 2022;28;0,000033;
март 2022;350;0,000386;
апрель 2022;225;0,000260;
май 2022;187;0,000221;
июнь 2022;165;0,000224;
июль 2022;129;0,000179;
август 2022;102;0,000141;
сентябрь 2022;314;0,000381;
октябрь 2022;324;0,000368;
ноябрь 2022;194;0,000217;
декабрь 2022;153;0,000172;
январь 2023;296;0,000335;
февраль 2023;485;0,000594;
март 2023;476;0,000528;
апрель 2023;486;0,000580;
май 2023;248;0,000307;
июнь 2023;359;0,000490;
июль 2023;273;0,000374;
август 2023;275;0,000389;
сентябрь 2023;366;0,000475;
октябрь 2023;425;0,000489;
ноябрь 2023;471;0,000557;
декабрь 2023;579;0,000682;
январь 2024;882;0,001019;
февраль 2024;979;0,001200;
март 2024;1 092;0,001298;
апрель 2024;892;0,001117;
май 2024;900;0,001178;
июнь 2024;763;0,001145;
июль 2024;845;0,001291;
август 2024;813;0,001236;
сентябрь 2024;887;0,001254;
октябрь 2024;1 107;0,001379;
ноябрь 2024;1 290;0,001561;
декабрь 2024;1 589;0,001859;
январь 2025;1 575;0,001854;
февраль 2025;1 532;0,001881;
март 2025;2 139;0,002512;
апрель 2025;2 136;0,002574;
май 2025;1 880;0,002458;
