Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Калининградская область, все устройства
февраль 2022;24;0,000041;
март 2022;319;0,000526;
апрель 2022;207;0,000345;
май 2022;169;0,000281;
июнь 2022;174;0,000316;
июль 2022;254;0,000447;
август 2022;218;0,000390;
сентябрь 2022;440;0,000735;
октябрь 2022;317;0,000501;
ноябрь 2022;241;0,000376;
декабрь 2022;215;0,000337;
январь 2023;369;0,000580;
февраль 2023;415;0,000692;
март 2023;458;0,000719;
апрель 2023;418;0,000701;
май 2023;373;0,000637;
июнь 2023;347;0,000639;
июль 2023;359;0,000639;
август 2023;432;0,000758;
сентябрь 2023;315;0,000553;
октябрь 2023;302;0,000490;
ноябрь 2023;433;0,000714;
декабрь 2023;427;0,000688;
январь 2024;387;0,000615;
февраль 2024;468;0,000802;
март 2024;548;0,000915;
апрель 2024;469;0,000809;
май 2024;468;0,000832;
июнь 2024;499;0,000972;
июль 2024;574;0,001070;
август 2024;516;0,000964;
сентябрь 2024;622;0,001116;
октябрь 2024;908;0,001524;
ноябрь 2024;849;0,001393;
декабрь 2024;678;0,001066;
январь 2025;1 086;0,001735;
февраль 2025;986;0,001639;
март 2025;1 093;0,001733;
апрель 2025;1 290;0,002124;
май 2025;1 224;0,002049;
