Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Мурманская область, все устройства
февраль 2022;24;0,000044;
март 2022;319;0,000541;
апрель 2022;125;0,000220;
май 2022;226;0,000409;
июнь 2022;159;0,000344;
июль 2022;114;0,000267;
август 2022;105;0,000247;
сентябрь 2022;258;0,000497;
октябрь 2022;274;0,000480;
ноябрь 2022;203;0,000349;
декабрь 2022;215;0,000372;
январь 2023;236;0,000408;
февраль 2023;267;0,000501;
март 2023;366;0,000629;
апрель 2023;337;0,000606;
май 2023;287;0,000542;
июнь 2023;313;0,000715;
июль 2023;269;0,000659;
август 2023;247;0,000613;
сентябрь 2023;230;0,000485;
октябрь 2023;280;0,000528;
ноябрь 2023;363;0,000679;
декабрь 2023;301;0,000555;
январь 2024;435;0,000785;
февраль 2024;325;0,000630;
март 2024;392;0,000720;
апрель 2024;455;0,000872;
май 2024;493;0,001006;
июнь 2024;402;0,001017;
июль 2024;358;0,000970;
август 2024;551;0,001477;
сентябрь 2024;424;0,000977;
октябрь 2024;733;0,001463;
ноябрь 2024;899;0,001739;
декабрь 2024;872;0,001621;
январь 2025;856;0,001606;
февраль 2025;911;0,001818;
март 2025;956;0,001771;
апрель 2025;1 073;0,002063;
май 2025;1 059;0,002240;
