Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Новгородская область, все устройства
февраль 2022;20;0,000050;
март 2022;205;0,000479;
апрель 2022;121;0,000293;
май 2022;109;0,000272;
июнь 2022;117;0,000323;
июль 2022;104;0,000282;
август 2022;106;0,000290;
сентябрь 2022;237;0,000588;
октябрь 2022;207;0,000488;
ноябрь 2022;153;0,000355;
декабрь 2022;150;0,000352;
январь 2023;175;0,000416;
февраль 2023;351;0,000898;
март 2023;193;0,000451;
апрель 2023;237;0,000592;
май 2023;325;0,000827;
июнь 2023;355;0,000986;
июль 2023;228;0,000628;
август 2023;263;0,000726;
сентябрь 2023;221;0,000589;
октябрь 2023;152;0,000363;
ноябрь 2023;322;0,000779;
декабрь 2023;295;0,000715;
январь 2024;413;0,000985;
февраль 2024;520;0,001328;
март 2024;390;0,000979;
апрель 2024;427;0,001104;
май 2024;374;0,001019;
июнь 2024;486;0,001488;
июль 2024;448;0,001320;
август 2024;422;0,001280;
сентябрь 2024;522;0,001504;
октябрь 2024;600;0,001543;
ноябрь 2024;510;0,001245;
декабрь 2024;642;0,001557;
январь 2025;718;0,001735;
февраль 2025;860;0,002197;
март 2025;976;0,002364;
апрель 2025;1 204;0,003090;
май 2025;812;0,002154;
