Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Коми, все устройства
февраль 2022;21;0,000038;
март 2022;163;0,000277;
апрель 2022;126;0,000223;
май 2022;102;0,000186;
июнь 2022;91;0,000195;
июль 2022;118;0,000276;
август 2022;121;0,000281;
сентябрь 2022;294;0,000582;
октябрь 2022;225;0,000399;
ноябрь 2022;159;0,000279;
декабрь 2022;115;0,000201;
январь 2023;139;0,000243;
февраль 2023;338;0,000638;
март 2023;279;0,000480;
апрель 2023;247;0,000443;
май 2023;258;0,000487;
июнь 2023;296;0,000650;
июль 2023;206;0,000487;
август 2023;197;0,000479;
сентябрь 2023;252;0,000541;
октябрь 2023;306;0,000575;
ноябрь 2023;414;0,000789;
декабрь 2023;336;0,000625;
январь 2024;378;0,000695;
февраль 2024;535;0,001047;
март 2024;610;0,001170;
апрель 2024;402;0,000789;
май 2024;491;0,000999;
июнь 2024;449;0,001131;
июль 2024;378;0,001013;
август 2024;412;0,001113;
сентябрь 2024;457;0,001090;
октябрь 2024;539;0,001101;
ноябрь 2024;698;0,001377;
декабрь 2024;689;0,001309;
январь 2025;1 013;0,001979;
февраль 2025;1 079;0,002155;
март 2025;1 115;0,002162;
апрель 2025;1 591;0,003144;
май 2025;1 337;0,002903;
