Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Кировская область, все устройства
февраль 2022;8;0,000010;
март 2022;410;0,000468;
апрель 2022;257;0,000309;
май 2022;260;0,000317;
июнь 2022;166;0,000228;
июль 2022;155;0,000221;
август 2022;119;0,000162;
сентябрь 2022;456;0,000548;
октябрь 2022;314;0,000354;
ноябрь 2022;259;0,000307;
декабрь 2022;238;0,000284;
январь 2023;354;0,000419;
февраль 2023;434;0,000558;
март 2023;415;0,000479;
апрель 2023;383;0,000478;
май 2023;336;0,000428;
июнь 2023;257;0,000360;
июль 2023;407;0,000580;
август 2023;333;0,000484;
сентябрь 2023;395;0,000531;
октябрь 2023;402;0,000485;
ноябрь 2023;683;0,000837;
декабрь 2023;684;0,000822;
январь 2024;897;0,001080;
февраль 2024;1 419;0,001847;
март 2024;1 908;0,002407;
апрель 2024;1 607;0,002116;
май 2024;1 106;0,001488;
июнь 2024;979;0,001554;
июль 2024;1 207;0,001924;
август 2024;1 079;0,001727;
сентябрь 2024;1 141;0,001690;
октябрь 2024;1 304;0,001697;
ноябрь 2024;1 895;0,002389;
декабрь 2024;1 691;0,002115;
январь 2025;1 986;0,002454;
февраль 2025;2 306;0,002965;
март 2025;2 564;0,003158;
апрель 2025;2 756;0,003499;
май 2025;2 222;0,003132;
