Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Нижегородская область, все устройства
февраль 2022;163;0,000053;
март 2022;1 085;0,000328;
апрель 2022;722;0,000228;
май 2022;835;0,000257;
июнь 2022;584;0,000203;
июль 2022;728;0,000256;
август 2022;781;0,000269;
сентябрь 2022;1 298;0,000402;
октябрь 2022;1 487;0,000429;
ноябрь 2022;1 231;0,000355;
декабрь 2022;968;0,000281;
январь 2023;1 081;0,000316;
февраль 2023;1 303;0,000412;
март 2023;1 644;0,000477;
апрель 2023;1 288;0,000408;
май 2023;935;0,000302;
июнь 2023;936;0,000342;
июль 2023;880;0,000320;
август 2023;1 029;0,000388;
сентябрь 2023;893;0,000316;
октябрь 2023;1 024;0,000322;
ноябрь 2023;1 428;0,000464;
декабрь 2023;1 370;0,000443;
январь 2024;1 885;0,000590;
февраль 2024;2 068;0,000699;
март 2024;1 933;0,000649;
апрель 2024;1 853;0,000662;
май 2024;2 033;0,000751;
июнь 2024;1 983;0,000857;
июль 2024;2 101;0,000908;
август 2024;2 322;0,000993;
сентябрь 2024;2 446;0,000971;
октябрь 2024;3 258;0,001122;
ноябрь 2024;3 356;0,001132;
декабрь 2024;3 126;0,001024;
январь 2025;4 404;0,001462;
февраль 2025;4 363;0,001498;
март 2025;5 008;0,001637;
апрель 2025;5 124;0,001781;
май 2025;4 309;0,001622;
