Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Брянская область, все устройства
февраль 2022;55;0,000066;
март 2022;679;0,000763;
апрель 2022;491;0,000568;
май 2022;433;0,000530;
июнь 2022;322;0,000441;
июль 2022;189;0,000256;
август 2022;234;0,000318;
сентябрь 2022;431;0,000527;
октябрь 2022;782;0,000899;
ноябрь 2022;582;0,000665;
декабрь 2022;507;0,000575;
январь 2023;946;0,001065;
февраль 2023;930;0,001147;
март 2023;799;0,000916;
апрель 2023;649;0,000816;
май 2023;670;0,000848;
июнь 2023;558;0,000766;
июль 2023;631;0,000874;
август 2023;613;0,000864;
сентябрь 2023;463;0,000622;
октябрь 2023;698;0,000831;
ноябрь 2023;818;0,000991;
декабрь 2023;861;0,001043;
январь 2024;920;0,001076;
февраль 2024;817;0,001022;
март 2024;892;0,001116;
апрель 2024;1 025;0,001357;
май 2024;813;0,001108;
июнь 2024;865;0,001310;
июль 2024;874;0,001342;
август 2024;984;0,001525;
сентябрь 2024;938;0,001369;
октябрь 2024;1 136;0,001459;
ноябрь 2024;1 513;0,001900;
декабрь 2024;1 681;0,002035;
январь 2025;1 758;0,002114;
февраль 2025;1 743;0,002224;
март 2025;1 754;0,002157;
апрель 2025;2 025;0,002644;
май 2025;2 116;0,002859;
