Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Оренбургская область, все устройства
февраль 2022;67;0,000055;
март 2022;770;0,000595;
апрель 2022;404;0,000339;
май 2022;336;0,000279;
июнь 2022;344;0,000327;
июль 2022;649;0,000651;
август 2022;435;0,000437;
сентябрь 2022;527;0,000459;
октябрь 2022;623;0,000499;
ноябрь 2022;401;0,000316;
декабрь 2022;448;0,000344;
январь 2023;645;0,000503;
февраль 2023;980;0,000820;
март 2023;1 027;0,000800;
апрель 2023;862;0,000732;
май 2023;893;0,000770;
июнь 2023;804;0,000790;
июль 2023;763;0,000764;
август 2023;658;0,000666;
сентябрь 2023;568;0,000509;
октябрь 2023;874;0,000699;
ноябрь 2023;1 373;0,001105;
декабрь 2023;970;0,000766;
январь 2024;1 122;0,000888;
февраль 2024;1 319;0,001123;
март 2024;1 661;0,001398;
апрель 2024;1 339;0,001227;
май 2024;1 359;0,001261;
июнь 2024;1 266;0,001383;
июль 2024;1 519;0,001676;
август 2024;1 452;0,001605;
сентябрь 2024;1 727;0,001766;
октябрь 2024;1 913;0,001711;
ноябрь 2024;2 314;0,001987;
декабрь 2024;2 451;0,002034;
январь 2025;3 011;0,002516;
февраль 2025;3 217;0,002767;
март 2025;3 379;0,002820;
апрель 2025;3 150;0,002818;
май 2025;2 923;0,002762;
