Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Пензенская область, все устройства
февраль 2022;38;0,000046;
март 2022;528;0,000576;
апрель 2022;396;0,000468;
май 2022;278;0,000328;
июнь 2022;183;0,000244;
июль 2022;164;0,000220;
август 2022;157;0,000215;
сентябрь 2022;443;0,000534;
октябрь 2022;349;0,000392;
ноябрь 2022;543;0,000604;
декабрь 2022;484;0,000535;
январь 2023;612;0,000677;
февраль 2023;590;0,000712;
март 2023;654;0,000727;
апрель 2023;516;0,000635;
май 2023;346;0,000421;
июнь 2023;380;0,000502;
июль 2023;454;0,000600;
август 2023;474;0,000650;
сентябрь 2023;671;0,000850;
октябрь 2023;610;0,000688;
ноябрь 2023;659;0,000748;
декабрь 2023;690;0,000778;
январь 2024;828;0,000921;
февраль 2024;889;0,001073;
март 2024;1 715;0,001998;
апрель 2024;1 243;0,001528;
май 2024;1 257;0,001516;
июнь 2024;1 351;0,001860;
июль 2024;1 583;0,002233;
август 2024;1 601;0,002278;
сентябрь 2024;1 700;0,002365;
октябрь 2024;2 144;0,002607;
ноябрь 2024;2 487;0,002972;
декабрь 2024;2 593;0,003018;
январь 2025;2 875;0,003324;
февраль 2025;2 842;0,003488;
март 2025;3 004;0,003583;
апрель 2025;2 853;0,003614;
май 2025;2 746;0,003664;
