Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Башкортостан, все устройства
февраль 2022;82;0,000032;
март 2022;879;0,000317;
апрель 2022;684;0,000266;
май 2022;500;0,000198;
июнь 2022;474;0,000210;
июль 2022;416;0,000199;
август 2022;411;0,000194;
сентябрь 2022;1 003;0,000410;
октябрь 2022;872;0,000329;
ноябрь 2022;620;0,000228;
декабрь 2022;488;0,000175;
январь 2023;937;0,000347;
февраль 2023;1 133;0,000452;
март 2023;1 218;0,000444;
апрель 2023;990;0,000397;
май 2023;909;0,000375;
июнь 2023;828;0,000378;
июль 2023;712;0,000333;
август 2023;932;0,000441;
сентябрь 2023;982;0,000419;
октябрь 2023;1 216;0,000461;
ноябрь 2023;1 473;0,000563;
декабрь 2023;1 492;0,000557;
январь 2024;1 697;0,000648;
февраль 2024;2 019;0,000826;
март 2024;2 674;0,001065;
апрель 2024;2 609;0,001134;
май 2024;2 605;0,001145;
июнь 2024;2 538;0,001306;
июль 2024;3 008;0,001533;
август 2024;3 025;0,001540;
сентябрь 2024;4 017;0,001924;
октябрь 2024;4 791;0,001984;
ноябрь 2024;5 555;0,002204;
декабрь 2024;5 550;0,002133;
январь 2025;7 814;0,003085;
февраль 2025;7 481;0,003011;
март 2025;8 181;0,003138;
апрель 2025;8 410;0,003433;
май 2025;7 557;0,003340;
