Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Саратовская область, все устройства
февраль 2022;58;0,000037;
март 2022;802;0,000461;
апрель 2022;608;0,000378;
май 2022;484;0,000306;
июнь 2022;480;0,000343;
июль 2022;379;0,000273;
август 2022;290;0,000213;
сентябрь 2022;808;0,000522;
октябрь 2022;944;0,000564;
ноябрь 2022;779;0,000461;
декабрь 2022;608;0,000359;
январь 2023;1 039;0,000611;
февраль 2023;950;0,000613;
март 2023;1 046;0,000627;
апрель 2023;1 039;0,000678;
май 2023;875;0,000569;
июнь 2023;942;0,000677;
июль 2023;945;0,000694;
август 2023;924;0,000696;
сентябрь 2023;1 042;0,000716;
октябрь 2023;1 005;0,000617;
ноябрь 2023;1 410;0,000868;
декабрь 2023;1 489;0,000919;
январь 2024;1 786;0,001094;
февраль 2024;1 699;0,001115;
март 2024;1 765;0,001135;
апрель 2024;1 580;0,001108;
май 2024;1 711;0,001219;
июнь 2024;1 526;0,001226;
июль 2024;2 025;0,001660;
август 2024;2 227;0,001810;
сентябрь 2024;2 166;0,001640;
октябрь 2024;2 962;0,001962;
ноябрь 2024;3 344;0,002146;
декабрь 2024;3 288;0,002043;
январь 2025;4 114;0,002567;
февраль 2025;4 130;0,002734;
март 2025;4 547;0,002856;
апрель 2025;4 932;0,003339;
май 2025;4 401;0,003156;
