Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Удмуртская Республика, все устройства
февраль 2022;47;0,000047;
март 2022;339;0,000318;
апрель 2022;222;0,000217;
май 2022;231;0,000236;
июнь 2022;186;0,000213;
июль 2022;209;0,000258;
август 2022;176;0,000215;
сентябрь 2022;312;0,000332;
октябрь 2022;340;0,000336;
ноябрь 2022;195;0,000193;
декабрь 2022;290;0,000280;
январь 2023;322;0,000315;
февраль 2023;358;0,000382;
март 2023;424;0,000410;
апрель 2023;288;0,000301;
май 2023;318;0,000343;
июнь 2023;234;0,000278;
июль 2023;236;0,000288;
август 2023;277;0,000340;
сентябрь 2023;307;0,000342;
октябрь 2023;360;0,000365;
ноябрь 2023;465;0,000476;
декабрь 2023;594;0,000582;
январь 2024;701;0,000715;
февраль 2024;865;0,000938;
март 2024;1 100;0,001158;
апрель 2024;974;0,001080;
май 2024;1 156;0,001298;
июнь 2024;1 001;0,001341;
июль 2024;1 027;0,001375;
август 2024;1 051;0,001414;
сентябрь 2024;1 179;0,001465;
октябрь 2024;1 582;0,001673;
ноябрь 2024;2 010;0,002049;
декабрь 2024;2 422;0,002365;
январь 2025;2 517;0,002515;
февраль 2025;2 460;0,002523;
март 2025;3 035;0,002970;
апрель 2025;2 655;0,002689;
май 2025;2 056;0,002296;
