Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Владимирская область, все устройства
февраль 2022;38;0,000037;
март 2022;470;0,000429;
апрель 2022;367;0,000353;
май 2022;296;0,000287;
июнь 2022;222;0,000237;
июль 2022;363;0,000385;
август 2022;207;0,000217;
сентябрь 2022;486;0,000478;
октябрь 2022;540;0,000504;
ноябрь 2022;568;0,000528;
декабрь 2022;401;0,000376;
январь 2023;384;0,000354;
февраль 2023;495;0,000501;
март 2023;573;0,000530;
апрель 2023;364;0,000366;
май 2023;410;0,000406;
июнь 2023;519;0,000528;
июль 2023;344;0,000329;
август 2023;474;0,000464;
сентябрь 2023;516;0,000491;
октябрь 2023;719;0,000613;
ноябрь 2023;625;0,000551;
декабрь 2023;663;0,000579;
январь 2024;832;0,000694;
февраль 2024;1 021;0,000945;
март 2024;1 021;0,000940;
апрель 2024;1 121;0,001131;
май 2024;1 002;0,001037;
июнь 2024;998;0,001132;
июль 2024;1 044;0,001141;
август 2024;1 248;0,001354;
сентябрь 2024;1 373;0,001476;
октябрь 2024;1 608;0,001573;
ноябрь 2024;1 764;0,001661;
декабрь 2024;1 556;0,001425;
январь 2025;2 121;0,001912;
февраль 2025;2 117;0,002041;
март 2025;2 099;0,001971;
апрель 2025;2 641;0,002593;
май 2025;2 177;0,002238;
